Address,Zip Code,CD#,Year of Covenant,Affordable Units,Total Units,% of Affordable,Rec Year,Entitlement,Zip,C of O,Extremely Low (AMI 30%),"Very, Very Low (45%)",Very Low (AMI 50%),Low (AMI 50%-80%),Moderate (AMI 120%),Workforce (AMI 150%),Types of Density Bonus/Discretionary/Specific Plan,source,Cleaned_Address,LAT,LONG
470 N. Wilton Pl.,90004.0,13.0,2022,1.0,13,0.0769230769230769,2022,DB,90004,,,,1.0,,,,,deduplicated_matched,470 N. Wilton Pl.,34.079614,-118.3130178
2722 S. Figueroa St.,90007.0,9.0,2022,24.0,157,0.1528662420382165,2022,DB,90007,2024-10-31 00:00:00,,,18.0,,,6.0,,deduplicated_matched,2722 S. Figueroa St.,34.0264856,-118.2766249
1450 W. Washington Blvd.,90007.0,1.0,2022,4.0,40,0.1,2022,DB,90007,2024-04-26 00:00:00,,,4.0,,,,,deduplicated_matched,1450 W. Washington Blvd.,34.039807,-118.2878686
422 N. Alvarado St.,90026.0,13.0,2022,6.0,73,0.0821917808219178,2022,DB,90026,,,,6.0,,,,,deduplicated_matched,422 N. Alvarado St.,34.07083,-118.26747
1400 S. Glenville Dr.,90035.0,5.0,2022,8.0,64,0.125,2022,DB,90035,,,,8.0,,,,,deduplicated_matched,1400 S. Glenville Dr.,34.0552275,-118.3930532
7050 W. Hawthorn Ave.,90028.0,13.0,2022,12.0,60,0.2,2022,DB,90028,,,,7.0,3.0,2.0,,,deduplicated_matched,7050 W. Hawthorn Ave.,34.0999647,-118.3433871
1814 S. Federal Ave.,90025.0,11.0,2022,1.0,11,0.0909090909090909,2022,DB,90025,2024-12-26 00:00:00,,,1.0,,,,,deduplicated_matched,1814 S. Federal Ave.,34.0409117,-118.45028
735 S. Boyle Ave.,90023.0,14.0,2022,1.0,5,0.2,2022,DB,90023,,,,1.0,,,,Note: no demolition of the original site will occur. This is the reason for no replacement.,deduplicated_matched,735 S. Boyle Ave.,34.0369727,-118.2192609
15027 W. Ventura Blvd.,91403.0,4.0,2022,4.0,33,0.1212121212121212,2022,DB,91403,,,,4.0,,,,,deduplicated_matched,15027 W. Ventura Blvd.,34.1654692,-118.5278398
2121 S. Westwood Blvd.,90025.0,5.0,2022,11.0,92,0.1195652173913043,2022,DB,90025,,,,11.0,,,,,deduplicated_matched,2121 S. Westwood Blvd.,34.0446665,-118.4326509
1818 N. Cherokee Ave.,90028.0,13.0,2022,21.0,86,0.2441860465116279,2022,DB,90028,2024-07-25 00:00:00,,,21.0,,,,,deduplicated_matched,1818 N. Cherokee Ave.,34.1037254,-118.3344564
182 S. Virgil Ave.,90004.0,13.0,2022,5.0,23,0.217391304347826,2022,DB,90004,,,,3.0,2.0,,,,deduplicated_matched,182 S. Virgil Ave.,34.0711047,-118.2864255
7538 W. Apperson St.,91042.0,7.0,2022,1.0,7,0.1428571428571428,2022,DB,91042,,,,1.0,,,,,deduplicated_matched,7538 W. Apperson St.,34.25576,-118.29705
5817 W. Virginia Ave.,90038.0,13.0,2022,3.0,12,0.25,2022,DB,90038,,,,1.0,2.0,,,,deduplicated_matched,5817 W. Virginia Ave.,34.0919583,-118.3164374
5320 N. Cartwright Ave.,91601.0,2.0,2022,4.0,46,0.0869565217391304,2022,DB,91601,,,,4.0,,,,,deduplicated_matched,5320 N. Cartwright Ave.,34.1672869,-118.3629519
320 N. La Cienega Blvd.,90048.0,5.0,2022,5.0,61,0.081967213114754,2022,DB,90048,,,,5.0,,,,,deduplicated_matched,320 N. La Cienega Blvd.,34.0766808,-118.3763715
1339 N. Tamarind Ave.,90028.0,13.0,2022,4.0,44,0.0909090909090909,2022,DB,90028,,4.0,,,,,,,deduplicated_matched,1339 N. Tamarind Ave.,33.9050705,-118.2229731
8333 S. Airport Blvd.,90045.0,11.0,2022,100.0,102,0.9803921568627452,2022,DB,90045,,,,,100.0,,,DB; SB 35,deduplicated_matched,8333 S. Airport Blvd.,33.963126,-118.3858269
1657 N. Western Ave.,90027.0,13.0,2022,198.0,200,0.99,2022,DB,90027,,,,,158.0,40.0,,Unlimited density per Govt Code Section 65915,deduplicated_matched,1657 N. Western Ave.,34.1007484,-118.3095745
5475 S. Inglewood Blvd.,90230.0,11.0,2022,1.0,11,0.0909090909090909,2022,DB,90230,,1.0,,,,,,DB,deduplicated_matched,5475 S. Inglewood Blvd.,33.9849954,-118.4069072
2800 N. Rokeby St.,90039.0,4.0,2022,4.0,39,0.1025641025641025,2022,DB,90039,,,,4.0,,,,,deduplicated_matched,2800 N. Rokeby St.,34.1075513,-118.2646649
806 W. Adams Blvd.,90007.0,9.0,2022,6.0,52,0.1153846153846153,2022,DB,90007,,,,6.0,,,,DB,deduplicated_matched,806 W. Adams Blvd.,34.0295304,-118.2802524
511 S. Harbor Blvd.,90731.0,15.0,2022,16.0,137,0.1167883211678832,2022,DB,90731,,,,16.0,,,,,deduplicated_matched,511 S. Harbor Blvd.,33.7402492,-118.2800624
306 S. Union Pl.,90017.0,1.0,2022,4.0,30,0.1333333333333333,2022,TOC,90017,,,,4.0,,,,TOC Tier 1,deduplicated_matched,306 S. Union Pl.,34.06028,-118.26726
1546 S. Orange Grove Ave.,90019.0,10.0,2022,3.0,28,0.1071428571428571,2022,TOC,90019,,3.0,,,,,,TOC Tier 3,deduplicated_matched,1546 S. Orange Grove Ave.,34.0481091,-118.3660795
1415 W. Court St.,90026.0,1.0,2022,7.0,46,0.1521739130434782,2022,TOC,90026,,2.0,,4.0,1.0,,,TOC Tier 1,deduplicated_matched,1415 W. Court St.,34.0651187,-118.2586809
612 N. Normandie Ave.,90004.0,13.0,2022,1.0,12,0.0833333333333333,2022,TOC,90004,,1.0,,,,,,TOC Tier 1,deduplicated_matched,612 N. Normandie Ave.,34.0816597,-118.3001385
339 S. Oxford Ave.,90020.0,10.0,2022,2.0,12,0.1666666666666666,2022,TOC,90020,2024-05-09 00:00:00,2.0,,,,,,TOC Tier 1,deduplicated_matched,339 S. Oxford Ave.,34.0678338,-118.3081806
3518 S. Chespeake Ave.,90016.0,10.0,2022,3.0,29,0.1034482758620689,2022,TOC,90016,2023-10-31 00:00:00,3.0,,,,,,TOC Tier 3,deduplicated_matched,3518 S. Chespeake Ave.,34.0233604,-118.3450323
5318 S. Hoover St.,90037.0,9.0,2022,56.0,57,0.9824561403508772,2022,TOC,90037,,6.0,,,50.0,,,TOC Tier 2,deduplicated_matched,5318 S. Hoover St.,33.99363,-118.28694
3434 S. Chesapeake Ave.,90016.0,10.0,2022,1.0,10,0.1,2022,TOC,90016,,1.0,,,,,,TOC Tier 3,deduplicated_matched,3434 S. Chesapeake Ave.,34.0244983,-118.3446794
1626 W. Temple St.,90026.0,13.0,2022,7.0,72,0.0972222222222222,2022,TOC,90026,,7.0,,,,,,TOC Tier 2,deduplicated_matched,1626 W. Temple St.,34.0681012,-118.2618443
300 W. 60th St.,90003.0,9.0,2022,59.0,60,0.9833333333333332,2022,TOC,90003,,6.0,,,53.0,,,TOC Tier 3,deduplicated_matched,300 W. 60th St.,33.9851275,-118.2783205
329 S. Bonnie Brae St.,90057.0,1.0,2022,3.0,30,0.1,2022,TOC,90057,,3.0,,,,,,TOC Tier 3,deduplicated_matched,329 S. Bonnie Brae St.,34.0611168,-118.2709319
1411 S. Flower St.,90015.0,14.0,2022,25.0,227,0.1101321585903083,2022,TOC,90015,,25.0,,,,,,TOC Tier 4,deduplicated_matched,1411 S. Flower St.,34.0381829,-118.2684825
525 S. Union Ave.,90017.0,1.0,2022,44.0,44,1.0,2022,TOC,90017,,6.0,,3.0,35.0,,,TOC Tier 4,deduplicated_matched,525 S. Union Ave.,34.0580107,-118.2698496
