APN,RSO Year,Address,City,Zip,RSO Units,Prior Council District,Council District,Land Use Code,Unit Range
2004001014,2024,8312 MAYNARD AVE,LOS ANGELES,91304,2,12,12,200,2 units
2004004011,2023,8379 SALE AVE,LOS ANGELES,91304,2,12,12,200,2 units
2004006011,2021,8371 CAPISTRANO AVE,LOS ANGELES,91304,2,12,12,200,2 units
2004009001,2024,8399 SHOUP AVE,LOS ANGELES,91304,2,12,12,200,2 units
2004009007,2021,8343 SHOUP AVE,LOS ANGELES,91304,2,12,12,200,2 units
2004010007,2024,22428 NAPA ST,LOS ANGELES,91304,2,12,12,200,2 units
2004010020,2022,22415 CHASE ST,LOS ANGELES,91304,2,12,12,200,2 units
2004015026,2021,22719 NAPA ST,LOS ANGELES,91304,1,12,12,200,1 unit
2004015028,2023,22720 NAPA ST,LOS ANGELES,91304,1,12,12,200,1 unit
2004017027,2020,8500 CAPISTRANO AVE,LOS ANGELES,91304,2,12,12,200,2 units
2004018006,2023,8401 RUDNICK AVE,LOS ANGELES,91304,2,12,12,200,2 units
2004019011,2023,8463 MOORCROFT AVE,LOS ANGELES,91304,2,12,12,200,2 units
2004020031,2021,8620 RUDNICK AVE,LOS ANGELES,91304,2,12,12,200,2 units
2004021016,2020,8641 DELMONICO AVE,LOS ANGELES,91304,2,12,12,200,2 units
2004023006,2023,8920 MOORCROFT AVE,LOS ANGELES,91304,2,12,12,200,2 units
2004024039,2021,9021 FARRALONE AVE,LOS ANGELES,91304,2,12,12,200,2 units
2005003025,2024,8300 SEDAN AVE,LOS ANGELES,91304,2,12,12,200,2 units
2005004022,2019,8474 CARLA LN,LOS ANGELES,91304,1,12,12,100,1 unit
2005005003,2023,8388 SEDAN AVE,LOS ANGELES,91304,2,12,12,200,2 units
2005007025,2024,8423 SEDAN AVE,LOS ANGELES,91304,2,12,12,200,2 units
2005010011,2022,8303 NATALIE LN,LOS ANGELES,91304,2,12,12,200,2 units
2005010012,2021,8307 NATALIE LN,LOS ANGELES,91304,2,12,12,200,2 units
2005013016,2023,8400 JASON AVE,LOS ANGELES,91304,2,12,12,200,2 units
2005015019,2022,23535 COMMUNITY ST,LOS ANGELES,91304,2,12,12,200,2 units
2005017006,2023,8314 GUSTAV LN,LOS ANGELES,91304,2,12,12,200,2 units
2005017022,2023,8317 STEPHEN LN,LOS ANGELES,91304,2,12,12,200,2 units
2005017029,2021,8328 LESTER LN,LOS ANGELES,91304,1,12,12,200,1 unit
2005018012,2024,8367 HILLARY DR,LOS ANGELES,91304,2,12,12,200,2 units
2005020003,2021,8360 STARKLAND AVE,LOS ANGELES,91304,1,12,12,200,1 unit
2005020011,2022,8356 MARLA AVE,LOS ANGELES,91304,2,12,12,200,2 units
2005020046,2023,23664 COMMUNITY ST,LOS ANGELES,91304,2,12,12,200,2 units
2005021009,2022,23772 NADIR ST,LOS ANGELES,91304,2,12,12,200,2 units
2005021010,2024,8335 STARKLAND AVE,LOS ANGELES,91304,2,12,12,200,2 units
2010004010,2023,21944 NORDHOFF ST,LOS ANGELES,91311,1,12,12,200,1 unit
2010004040,2019,9035 TOPANGA CANYON BLVD,LOS ANGELES,91304,59,12,12,501,50-99 units
2010006020,2019,8848 FARRALONE AVE,LOS ANGELES,91304,2,12,12,200,2 units
2010007008,2024,22136 GRESHAM ST,LOS ANGELES,91304,2,12,12,200,2 units
2010007009,2024,22126 GRESHAM ST,LOS ANGELES,91304,2,12,12,200,2 units
2010008014,2023,21910 GRESHAM ST,LOS ANGELES,91304,2,12,12,200,2 units
2010009014,2024,8838 HANNA AVE,LOS ANGELES,91304,2,12,12,200,2 units
2010010023,2021,22101 PARTHENIA ST,LOS ANGELES,91304,2,12,12,200,2 units
2010011023,2021,8612 EATOUGH AVE,LOS ANGELES,91304,2,12,12,200,2 units
2010012006,2021,8616 HANNA AVE,LOS ANGELES,91304,2,12,12,200,2 units
2010013016,2021,8564 HANNA AVE,LOS ANGELES,91304,2,12,12,200,2 units
2010019015,2021,22130 CHASE ST,LOS ANGELES,91304,2,12,12,200,2 units
2010020029,2021,22200 SCHOENBORN ST,LOS ANGELES,91304,2,12,12,200,2 units
2010020044,2022,22300 SCHOENBORN ST,LOS ANGELES,91304,2,12,12,200,2 units
2010020047,2021,22352 SCHOENBORN ST,LOS ANGELES,91304,2,12,12,200,2 units
2010022002,2021,8408 HANNA AVE,LOS ANGELES,91304,2,12,12,200,2 units
2010022011,2024,8471 TOPANGA CANYON BLVD,LOS ANGELES,91304,2,12,12,200,2 units
2010022015,2020,8445 TOPANGA CANYON BLVD,LOS ANGELES,91304,2,12,12,200,2 units
2012001040,2019,22031 STRATHERN ST,LOS ANGELES,91304,1,3,3,01DC,1 unit
2012004011,2020,22137 BALTAR ST,LOS ANGELES,91304,2,3,3,200,2 units
