APN,Application Received,Application Year,Council District,Address_left,City,Zip_left,Units Withdrawn,Replacement Unit,Latitude_left,Longitude_left,lat_lon_left,geometry,Address_right,Zip_right,CD#,Year of Covenant,Affordable Units,Total Units,% of Affordable,Rec Year,Entitlement,Zip_right,C of O,Extremely Low (AMI 30%),"Very, Very Low (45%)",Very Low (AMI 50%),Low (AMI 50%-80%),Moderate (AMI 120%),Workforce (AMI 150%),Types of Density Bonus/Discretionary/Specific Plan,source,Cleaned_Address,Latitude_right,Longitude_right,lat_lon_right,index_right,OBJECTID,name
2040031050,2/25/2016,2016,3,22769 W DEL VALLE ST,LOS ANGELES ,91364.0,2.0,22.0,34.1655084,-118.6226958,"(34.1655084, -118.6226958)",POINT (350431.3726275306 3781697.0936347353),22769 W. Del Valle St.,91364.0,3.0,2017,2.0,22,0.0909090909090909,2017,DB,91364,2019-08-15 00:00:00,,,2.0,,,,,deduplicated_matched,22769 W. Del Valle St.,34.1655084,-118.6226958,"(34.1655084, -118.6226958)",112.0,113.0,Woodland Hills
2111025021,3/16/2016,2016,3,7118 N JORDAN AVE,CANOGA PARK ,91303.0,2.0,9.0,34.1973966,-118.6028709,"(34.1973966, -118.6028709)",POINT (352314.46529754973 3785204.5167532666),7043 N. Jordan Ave.,91303.0,3.0,2017,3.0,33,0.0909090909090909,2017,DB,91303,,,,3.0,,,,,deduplicated_matched,7043 N. Jordan Ave.,34.1973966,-118.6028709,"(34.1973966, -118.6028709)",12.0,13.0,Canoga Park
2112024012,8/13/2015,2015,3,7310 N ETON AVE,LOS ANGELES ,91303.0,2.0,,34.1948973,-118.5954786,"(34.1948973, -118.5954786)",POINT (352991.3046354093 3784916.661996142),6904 N. Eton Ave.,91303.0,3.0,2019,2.0,21,0.0952380952380952,2019,DB,91303,2023-12-19 00:00:00,,,2.0,,,,,deduplicated_matched,6904 N. Eton Ave.,34.1948973,-118.5954786,"(34.1948973, -118.5954786)",12.0,13.0,Canoga Park
2112024025,4/18/2023,2023,3,7353 N MILWOOD AVE,LOS ANGELES ,91303.0,3.0,,34.2047007,-118.5943077,"(34.2047007, -118.5943077)",POINT (353116.2109174394 3786002.1467544655),7353 N. Milwood Ave.,91303.0,3.0,2022,3.0,16,0.1875,2022,TOC,91303,,1.0,,2.0,,,,TOC Tier 2,deduplicated_matched,7353 N. Milwood Ave.,34.2047007,-118.5943077,"(34.2047007, -118.5943077)",12.0,13.0,Canoga Park
2160004003,10/4/2016,2016,3,18525 W CLARK ST,LOS ANGELES ,91356.0,1.0,,34.1706241,-118.5368961,"(34.1706241, -118.5368961)",POINT (358349.0567817922 3782141.904281279),18525 W. Clark St.,91356.0,3.0,2019,20.0,170,0.1176470588235294,2019,DB,91356,,,,20.0,,,,Site Plan Review; Project Permit Compliance,deduplicated_matched,18525 W. Clark St.,34.1706241,-118.5368961,"(34.1706241, -118.5368961)",90.0,91.0,Tarzana
2210020017,6/26/2018,2018,6,14721 W BLYTHE ST,VAN NUYS ,91402.0,4.0,,34.2149316,-118.5636617,"(34.2149316, -118.5636617)",POINT (355957.30673151766 3787092.9683741103),14715 W. Blythe St.,91402.0,6.0,2020,6.0,26,0.2307692307692307,2020,TOC,91402,,3.0,,2.0,1.0,,,TOC Tier 1,deduplicated_matched,14715 W. Blythe St.,34.2149312,-118.5636616,"(34.2149312, -118.5636616)",111.0,112.0,Winnetka
2210020018,6/26/2018,2018,6,14715 W BLYTHE ST,VAN NUYS ,91402.0,4.0,,34.2149316,-118.5636617,"(34.2149316, -118.5636617)",POINT (355957.30673151766 3787092.9683741103),14715 W. Blythe St.,91402.0,6.0,2020,6.0,26,0.2307692307692307,2020,TOC,91402,,3.0,,2.0,1.0,,,TOC Tier 1,deduplicated_matched,14715 W. Blythe St.,34.2149312,-118.5636616,"(34.2149312, -118.5636616)",111.0,112.0,Winnetka
2213001024,7/7/2023,2023,6,13938 W ROSCOE BLVD,LOS ANGELES ,91402.0,2.0,,34.221406,-118.5039094,"(34.221406, -118.5039094)",POINT (361472.6971497537 3787728.0732350126),14915 W Roscoe Blvd,91402.0,6.0,2015,1.0,22,0.0454545454545454,2015,DB,91402,2016-11-22 00:00:00,,,1.0,,,,,deduplicated_matched,14915 W Roscoe Blvd,34.2215698,-118.5040624,"(34.2215698, -118.5040624)",67.0,68.0,Northridge
2213001024,7/7/2023,2023,6,13938 W ROSCOE BLVD,LOS ANGELES ,91402.0,2.0,,34.221406,-118.5039094,"(34.221406, -118.5039094)",POINT (361472.6971497537 3787728.0732350126),15157 W Roscoe Blvd,91402.0,6.0,2015,2.0,39,0.0512820512820512,2015,DB,91402,2018-06-08 00:00:00,,,2.0,,,,,deduplicated_matched,15157 W Roscoe Blvd,34.2215698,-118.5040624,"(34.2215698, -118.5040624)",67.0,68.0,Northridge
2217007037,4/15/2015,2015,6,14429 W VOSE ST,VAN NUYS ,91405.0,2.0,,34.1987846,-118.4475882,"(34.1987846, -118.4475882)",POINT (366625.30061567156 3785144.304042349),14431 W. Vose St.,91405.0,6.0,2022,37.0,332,0.1114457831325301,2022,TOC,91405,,37.0,,,,,,TOC Tier 4,deduplicated_matched,14431 W. Vose St.,34.1986021,-118.4472984,"(34.1986021, -118.4472984)",96.0,97.0,Van Nuys
