name,total_rso_removed,total_affordable_added,total_units_added,extremely_low_ami_30,very_very_low_ami_45,very_low_ami_50,low_ami_50_80,moderate_ami_120,workforce_ami_150,market_rate_units_added,Net Change
Adams-Normandie,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arlington Heights,40.0,94.0,94.0,0.0,0.0,0.0,73.0,21.0,0.0,0.0,54.0
Atwater Village,38.0,3.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,28.0,-7.0
Baldwin Hills/Crenshaw,49.0,426.0,881.0,51.0,0.0,15.0,291.0,69.0,0.0,455.0,832.0
Bel-Air,9.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,4.0
Beverly Grove,509.0,77.0,694.0,0.0,0.0,59.0,18.0,0.0,0.0,617.0,185.0
Beverlywood,10.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,-2.0
Boyle Heights,173.0,298.0,426.0,27.0,0.0,41.0,213.0,17.0,0.0,128.0,253.0
Brentwood,396.0,158.0,1226.0,2.0,0.0,95.0,54.0,7.0,0.0,1068.0,830.0
Broadway-Manchester,29.0,113.0,115.0,5.0,0.0,11.0,97.0,0.0,0.0,2.0,86.0
Canoga Park,7.0,8.0,70.0,1.0,0.0,7.0,0.0,0.0,0.0,62.0,63.0
Carthay,44.0,8.0,90.0,0.0,0.0,8.0,0.0,0.0,0.0,82.0,46.0
Central-Alameda,38.0,57.0,57.0,9.0,0.0,6.0,42.0,0.0,0.0,0.0,19.0
Century City,70.0,63.0,535.0,0.0,0.0,63.0,0.0,0.0,0.0,472.0,465.0
Chatsworth,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cheviot Hills,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chinatown,43.0,2.0,56.0,0.0,0.0,2.0,0.0,0.0,0.0,54.0,13.0
Cypress Park,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Del Rey,96.0,35.0,168.0,0.0,0.0,16.0,18.0,1.0,0.0,133.0,72.0
Downtown,151.0,567.0,2982.0,126.0,0.0,168.0,210.0,63.0,0.0,2415.0,2831.0
Eagle Rock,58.0,5.0,59.0,0.0,0.0,5.0,0.0,0.0,0.0,54.0,1.0
East Hollywood,459.0,879.0,2207.0,224.0,0.0,155.0,425.0,75.0,0.0,1328.0,1748.0
Echo Park,275.0,104.0,919.0,43.0,0.0,56.0,5.0,0.0,0.0,815.0,644.0
El Sereno,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elysian Park,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elysian Valley,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Encino,68.0,357.0,3332.0,170.0,0.0,170.0,17.0,0.0,0.0,2975.0,3264.0
Exposition Park,379.0,520.0,1051.0,51.0,0.0,29.0,360.0,76.0,4.0,531.0,672.0
