Address,Zip Code,CD#,Year of Covenant,Affordable Units,Total Units,% of Affordable,Entitlements,Type2,AH Studio Unit #,AH 1BR Unit #,AH 2BR Unit #,AH 3BR Unit #,AH 4BR Unit #,AH 5BR Unit#,AH 6BR Unit#,LAT,LONG
"4660 N KESTER AVE Sherman Oaks, CA 91403",91403,4,2007,,,,,,,,,,,,,,
"6938 N Laurel Canyon BLVD North Hollywood, CA 91605",91605,2,2007,,,,,,,,,,,,,,
"4520 S FIGUEROA ST 1-21 Los Angeles, CA 90037",90037,9,2007,,21,,,,,,,,,,,,
"7601 N HOLLYWOOD WAY BURBANK, CA 91505",91505,2,2007,,20,,,,,,,,,,,,
"1421 W TEMPLE ST 1-52 Los Angeles, CA 90026",90026,1,2007,,52,,,,,,,,,,,,
"1117 S WESTLAKE AVE Los Angeles, CA 90006",90006,1,2007,,30,,,,,,,,,,,,
"225 N AVENUE 25 1-146 Los Angeles, CA 90031",90031,1,2007,,146,,,,,,,,,,,,
"7551 N JORDAN AVE Canoga Park, CA 91303",91303,3,2007,,41,,,,,,,,,,,,
"7511 S MAIN ST 1-9 LOS ANGELES, CA 90003",90003,9,2007,,8,,,,,,,,,,,,
"3325 S CANFIELD AVE 1-3 Los Angeles, CA 90034",90034,5,2007,,27,,,,,,,,,,,,
"5231 E HUNTINGTON DR NORTH 1-5 Los Angeles, CA 90032",90032,14,2007,,,,,,,,,,,,,,
"9015 N ORION AVE 1-21 North Hills, CA 91343",91343,7,2007,,,,,,,,,,,,,,
"226 N PARK VIEW ST 1-5 Los Angeles, CA 90026",90026,13,2007,,,,,,,,,,,,,,
"1602 N IVAR AVE 1-104 HOLLYWOOD, CA 90028",90028,13,2007,,,,,,,,,,,,,,
"14067 W ASTORIA ST Sylmar, CA 91342",91342,7,2007,,,,,,,,,,,,,,
"2455 W COLORADO BLVD 1-77 Los Angeles, CA 90041",90041,14,2007,,77,,,,,,,,,,,,
"640 N KINGSLEY DR 1-12 Los Angeles, CA 90004",90004,13,2007,,,,,,,,,,,,,,
"15532 W NORDHOFF ST North Hills, CA 91343",91343,7,2007,,31,,,,,,,,,,,,
"11049 W MCCORMICK ST North Hollywood, CA 91601",91601,2,2007,,105,,,,,,,,,,,,
"6033 W ELEANOR AVE 1-8 Los Angeles, CA 90038",90038,13,2007,,,,,,,,,,,,,,
"4550 N FULTON AVE 101-124 Sherman Oaks, CA 91423",91423,4,2007,,40,,,,,,,,,,,,
"4709 S 2ND AVE Los Angeles, CA 90043",90043,8,2007,,3,,,,,,,,,,,,
"4115 Glencoe AVE Marina Del Rey, CA 90292",90292,11,2007,,61,,,,,,,,,,,,
"165 W 42ND PL LOS ANGELES, CA 90037",90037,9,2007,,3,,,,,,,,,,,,
"2637 S MANHATTAN PL Los Angeles, CA 90018",90018,10,2007,,9,,,,,,,,,,,,
"16601 W FOOTHILL BLVD Sylmar, CA 91342",91342,7,2008,,223,,,,,,,,,,,,
"13140 N DRONFIELD AVE Sylmar, CA 91342",91342,7,2008,,48,,,,,,,,,,,,
"6808 S HOOVER ST 1-6 LOS ANGELES, CA 90044",90044,8,2008,,6,,,,,,,,,,,,
"14078 W ASTORIA ST Sylmar, CA 91342",91342,7,2008,,48,,,,,,,,,,,,
"9050 LAUREL CANYON BLVD Sun Valley, CA 91352",91352,6,2008,,60,,,,,,,,,,,,
"10558 W EASTBORNE AVE 1-9 Los Angeles, CA 90024",90024,5,2008,,10,,,,,,,,,,,,
"10644 W EASTBORNE AVE 1-17 Los Angeles, CA 90024",90024,5,2008,,24,,,,,,,,,,,,
"20422 W COHASSET ST Winnetka, CA 91306",91306,3,2008,,38,,,,,,,,,,,,
"208 E 120TH ST Los Angeles, CA 90061",90061,15,2008,,5,,,,,,,,,,,,
"1612 W CORTEZ ST 1-21 LOS ANGELES, CA 90026",90026,13,2008,,21,,,,,,,,,,,,
"14740 W ERWIN ST VAN NUYS, CA 91411",91411,6,2008,,18,,,,,,,,,,,,
"4647 E HUNTINGTON DR NORTH Los Angeles, CA 90032",90032,14,2008,,48,,,,,,,,,,,,
"6118 N HAZELTINE AVE Van Nuys, CA 91401",91401,2,2008,,,,,,,,,,,,,,
"14116 W BURBANK BLVD VAN NUYS, CA 91401",91401,4,2008,,13,,,,,,,,,,,,
"420 S UNION DR 1-21 Los Angeles, CA 90017",90017,1,2008,,21,,,,,,,,,,,,
"17837 W SHERMAN WAY 1-10 Reseda, CA 91335",91335,4,2008,,10,,,,,,,,,,,,
"7225 S CRESCENT PARK WEST Playa Vista, CA 90094",90094,11,2008,,312,,,,,,,,,,,,
"2529 N SICHEL ST 1-6 Los Angeles, CA 90031",90031,1,2008,,,,,,,,,,,,,,
"1671 W BEVERLY BLVD 1-22 Los Angeles, CA 90026",90026,13,2008,,22,,,,,,,,,,,,
"5417 S FIGUEROA ST 1-21 Los Angeles, CA 90037",90037,9,2008,,21,,,,,,,,,,,,
"635 S NORTON AVE 1-47 Travis Afb, CA 90010",90010,13,2008,,,,,,,,,,,,,,
"1645 S ABBOT KINNEY BLVD Venice, CA 90291",90291,11,2008,,,,,,,,,,,,,,
"1508 S VETERAN AVE Los Angeles, CA 90024",90024,5,2008,,,,,,,,,,,,,,
"12360 W OSBORNE ST 1-2 Pacoima, CA 91331",91331,7,2008,,51,,,,,,,,,,,,
"116 S WITMER ST Los Angeles, CA 90026",90026,1,2008,,49,,,,,,,,,,,,
"4133 S REDWOOD AVE 1-117 Los Angeles, CA 90292",90292,11,2008,,190,,,,,,,,,,,,
"3742 S CLARINGTON AVE 1-2 Los Angeles, CA 90034",90034,5,2008,,20,,,,,,,,,,,,
"1328 W JAMES M. WOOD BLVD 1-18 Los Angeles, CA 90015",90015,1,2008,,61,,,,,,,,,,,,
"918 S OXFORD AVE 1-225 Los Angeles, CA 90006",90006,10,2008,,,,,,,,,,,,,,
"7318 N WOODMAN AVE VAN NUYS, CA 91405",91405,2,2008,,8,,,,,,,,,,,,
"7755 W HOLLYWOOD BLVD 1-18 Los Angeles, CA 90046",90046,4,2008,,,,,,,,,,,,,,
"413 E 7TH ST Los Angeles, CA 90014",90014,14,2008,,53,,,,,,,,,,,,
"4900 S FIGUEROA ST 1-49 Los Angeles, CA 90037",90037,9,2008,,49,,,,,,,,,,,,
"1413 1/2 W 58TH PL Los Angeles, CA 90047",90047,8,2008,,2,,,,,,,,,,,,
"1927 W 6TH ST 1-51 Los Angeles, CA 90057",90057,1,2008,,51,,,,,,,,,,,,
"204 S LUCAS AVE 1-21 Los Angeles, CA 90026",90026,1,2008,,21,,,,,,,,,,,,
"12129 N EL DORADO AVE Sylmar, CA 91342",91342,7,2008,,60,,,,,,,,,,,,
"1215 S NORTON AVE 1-44 Los Angeles, CA 90019",90019,10,2008,,,,,,,,,,,,,,
"1050 W INGRAHAM ST Los Angeles, CA 90017",90017,1,2008,,,,,,,,,,,,,,
"3221 S CARTER AVE 1-298 Marina Del Rey, CA 90292",90292,11,2008,,298,,,,,,,,,,,,
"9618 N VAN NUYS BLVD 1-55 Panorama City, CA 91402",91402,6,2008,,55,,,,,,,,,,,,
"456 S LAKE ST Los Angeles, CA 90057",90057,1,2008,,74,,,,,,,,,,,,
"816 S CARONDELET ST 1-33 Los Angeles, CA 90057",90057,1,2008,,33,,,,,,,,,,,,
"1229 N BRONSON AVE 1-32 HOLLYWOOD, CA 90038",90038,13,2008,,32,,,,,,,,,,,,
"13890 W SAYRE ST Sylmar, CA 91342",91342,7,2008,,49,,,,,,,,,,,,
"11501 W HATTERAS ST 1-8 North Hollywood, CA 91601",91601,2,2008,,8,,,,,,,,,,,,
"1109 S KINGSLEY DR 1-30 Los Angeles, CA 90006",90006,10,2008,,,,,,,,,,,,,,
"7002 S RAMSGATE PL 1-10 Los Angeles, CA 90045",90045,11,2009,,12,,,,,,,,,,,,
"11950 W IDAHO AVE 1-2 Los Angeles, CA 90025",90025,11,2009,,91,,,,,,,,,,,,
"1805 N SICHEL ST 1-37 Los Angeles, CA 90031",90031,14,2009,,37,,,,,,,,,,,,
"924 S HOBART BLVD 1-49 Los Angeles, CA 90006",90006,10,2009,,49,,,,,,,,,,,,
"10620 W WHIPPLE ST North Hollywood, CA 91602",91602,2,2009,,33,,,,,,,,,,,,
"6910 N WOODLEY AVE Van Nuys, CA 91406",91406,6,2009,,7,,,,,,,,,,,,
"13627 W SHERMAN WAY Van Nuys, CA 91405",91405,2,2009,,75,,,,,,,,,,,,
"2114 W CLINTON ST 1-36 Los Angeles, CA 90026",90026,13,2009,,36,,,,,,,,,,,,
"1304 W 2ND ST 1-275 Los Angeles, CA 90026",90026,1,2009,,,,,,,,,,,,,,
"7420 S Arizona AVE Los Angeles, CA 90045",90045,11,2009,,43,,,,,,,,,,,,
"14419 W VANOWEN ST VAN NUYS, CA 91405",91405,6,2009,,25,,,,,,,,,,,,
"15320 W RAYEN ST 1-49 North Hills, CA 91343",91343,6,2009,,49,,,,,,,,,,,,
"12028 S FIGUEROA ST LOS ANGELES, CA 90061",90061,15,2009,,19,,,,,,,,,,,,
"6136 W ELEANOR AVE Los Angeles, CA 90038",90038,13,2009,,,,,,,,,,,,,,
"19455 W PARTHENIA ST 1-77 Northridge, CA 91324",91324,12,2009,,77,,,,,,,,,,,,
"14611 W VINCENNES ST Panorama City, CA 91402",91402,6,2009,,80,,,,,,,,,,,,
"13426 W VANOWEN ST Van Nuys, CA 91405",91405,2,2009,,20,,,,,,,,,,,,
"17720 W SUPERIOR ST Northridge, CA 91325",91325,12,2009,,,,,,,,,,,,,,
"833 N EDINBURGH AVE 1-57 Los Angeles, CA 90046",90046,5,2009,,57,,,,,,,,,,,,
"8955 N ORION AVE 1-32 North Hills, CA 91343",91343,7,2009,,32,,,,,,,,,,,,
"18425 W MALDEN ST 1-36 Northridge, CA 91325",91325,12,2009,,36,,,,,,,,,,,,
"6941 N HAZELTINE AVE 1-12 Van Nuys, CA 91405",91405,6,2009,,12,,,,,,,,,,,,
"3901 S VERMONT AVE Los Angeles, CA 90037",90037,8,2009,,140,,,,,,,,,,,,
"15270 W SUTTON ST Sherman Oaks, CA 91403",91403,4,2009,,30,,,,,,,,,,,,
"15357 W MAGNOLIA BLVD VAN NUYS, CA 91403",91403,4,2009,,98,,,,,,,,,,,,
"2618 W 7TH ST Los Angeles, CA 90057",90057,1,2009,,57,,,,,,,,,,,,
"1759 S BELOIT AVE 1-61 Los Angeles, CA 90025",90025,11,2009,,61,,,,,,,,,,,,
"21350 W PARTHENIA ST Canoga Park, CA 91304",91304,3,2009,,,,,,,,,,,,,,
"21306 W PARTHENIA ST Canoga Park, CA 91304",91304,3,2009,,,,,,,,,,,,,,
"1624 S HOPE ST 1-97 Los Angeles, CA 90015",90015,14,2009,,97,,,,,,,,,,,,
"11825 W COURTLEIGH DR Los Angeles, CA 90066",90066,11,2009,,2,,,,,,,,,,,,
"208 S BONNIE BRAE ST 1-92 Los Angeles, CA 90057",90057,1,2009,,93,,,,,,,,,,,,
"8747 N.Sepulveda Blvd, North Hills 91301",91301,6,2010,4,38,10.53%,Density Bonus,Market Rate Developments,,,,,,,,,
"14349-14353 W. Friar St, Van Nuys 91401",91401,6,2010,2,18,11.11%,Density Bonus,Market Rate Developments,,,"1, 2",,,,,,
