index_right,Address,Zip,CD#,Year of Covenant,Affordable Units,Total Units,% of Affordable,Entitlements,Type2,AH Studio Unit #,AH 1BR Unit #,AH 2BR Unit #,AH 3BR Unit #,AH 4BR Unit #,AH 5BR Unit#,AH 6BR Unit#,Latitude,Longitude,geometry,index_right,buffer
1709,8163 N SEPULVEDA BLVD,,6,2024,90.0,91.0,98.90%,ED1,,,,,,,,,34.1854602,-118.4538032,POINT (366031.5570089738 3783674.8495653784),71,"POLYGON ((366531.5570089738 3783674.8495653784, 366529.1493723099 3783625.8409952135, 366521.9496491754 3783577.3044043705, 366510.0271768399 3783529.7072267514, 366493.4967752294 3783483.507849196, 366472.51764114795 3783439.1511969655, 366447.29181512503 3783397.0644488684, 366418.06223565515 3783357.6529232967, 366385.11039956706 3783321.296174785, 366348.7536510556 3783288.344338697, 366309.3421254836 3783259.1147592273, 366267.2553773868 3783233.888933204, 366222.8987251563 3783212.9097991227, 366176.69934760104 3783196.3793975124, 366129.10216998187 3783184.4569251765, 366080.5655791386 3783177.2572020423, 366031.5570089738 3783174.8495653784, 365982.548438809 3783177.2572020423, 365934.0118479657 3783184.4569251765, 365886.41467034654 3783196.3793975124, 365840.21529279125 3783212.9097991227, 365795.85864056076 3783233.888933204, 365753.77189246396 3783259.1147592273, 365714.36036689195 3783288.344338697, 365678.0036183805 3783321.296174785, 365645.05178229243 3783357.6529232967, 365615.82220282254 3783397.0644488684, 365590.5963767996 3783439.1511969655, 365569.6172427182 3783483.507849196, 365553.0868411077 3783529.7072267514, 365541.1643687722 3783577.3044043705, 365533.96464563766 3783625.8409952135, 365531.5570089738 3783674.8495653784, 365533.96464563766 3783723.8581355433, 365541.1643687722 3783772.3947263863, 365553.0868411077 3783819.9919040054, 365569.6172427182 3783866.191281561, 365590.5963767996 3783910.5479337913, 365615.82220282254 3783952.6346818884, 365645.05178229243 3783992.04620746, 365678.0036183805 3784028.4029559717, 365714.36036689195 3784061.35479206, 365753.77189246396 3784090.5843715295, 365795.85864056076 3784115.8101975527, 365840.21529279125 3784136.789331634, 365886.41467034654 3784153.3197332444, 365934.0118479657 3784165.24220558, 365982.548438809 3784172.4419287145, 366031.5570089738 3784174.8495653784, 366080.5655791386 3784172.4419287145, 366129.10216998187 3784165.24220558, 366176.69934760104 3784153.3197332444, 366222.8987251563 3784136.789331634, 366267.2553773868 3784115.8101975527, 366309.3421254836 3784090.5843715295, 366348.7536510556 3784061.35479206, 366385.11039956706 3784028.4029559717, 366418.06223565515 3783992.04620746, 366447.29181512503 3783952.6346818884, 366472.51764114795 3783910.5479337913, 366493.4967752294 3783866.191281561, 366510.0271768399 3783819.9919040054, 366521.9496491754 3783772.3947263863, 366529.1493723099 3783723.8581355433, 366531.5570089738 3783674.8495653784))"
1709,5607 S MAIN ST,,9,2024,25.0,26.0,96.15%,ED1,,,,,,,,,33.931861,-118.2790525,POINT (381784.31499960227 3755337.531727588),71,"POLYGON ((382284.31499960227 3755337.531727588, 382281.9073629384 3755288.523157423, 382274.7076398039 3755239.98656658, 382262.78516746836 3755192.389388961, 382246.2547658579 3755146.1900114054, 382225.2756317764 3755101.833359175, 382200.0498057535 3755059.746611078, 382170.8202262836 3755020.335085506, 382137.86839019554 3754983.9783369945, 382101.5116416841 3754951.0265009063, 382062.1001161121 3754921.7969214367, 382020.0133680153 3754896.5710954135, 381975.6567157848 3754875.591961332, 381929.4573382295 3754859.061559722, 381881.86016061035 3754847.139087386, 381833.32356976706 3754839.9393642517, 381784.31499960227 3754837.531727588, 381735.3064294375 3754839.9393642517, 381686.7698385942 3754847.139087386, 381639.172660975 3754859.061559722, 381592.97328341973 3754875.591961332, 381548.61663118924 3754896.5710954135, 381506.52988309244 3754921.7969214367, 381467.11835752043 3754951.0265009063, 381430.761609009 3754983.9783369945, 381397.8097729209 3755020.335085506, 381368.580193451 3755059.746611078, 381343.3543674281 3755101.833359175, 381322.37523334665 3755146.1900114054, 381305.8448317362 3755192.389388961, 381293.92235940066 3755239.98656658, 381286.72263626615 3755288.523157423, 381284.31499960227 3755337.531727588, 381286.72263626615 3755386.5402977527, 381293.92235940066 3755435.0768885957, 381305.8448317362 3755482.674066215, 381322.37523334665 3755528.87344377, 381343.3543674281 3755573.2300960007, 381368.580193451 3755615.316844098, 381397.8097729209 3755654.7283696695, 381430.761609009 3755691.085118181, 381467.11835752043 3755724.0369542693, 381506.52988309244 3755753.266533739, 381548.61663118924 3755778.492359762, 381592.97328341973 3755799.4714938435, 381639.172660975 3755816.001895454, 381686.7698385942 3755827.9243677896, 381735.3064294375 3755835.124090924, 381784.31499960227 3755837.531727588, 381833.32356976706 3755835.124090924, 381881.86016061035 3755827.9243677896, 381929.4573382295 3755816.001895454, 381975.6567157848 3755799.4714938435, 382020.0133680153 3755778.492359762, 382062.1001161121 3755753.266533739, 382101.5116416841 3755724.0369542693, 382137.86839019554 3755691.085118181, 382170.8202262836 3755654.7283696695, 382200.0498057535 3755615.316844098, 382225.2756317764 3755573.2300960007, 382246.2547658579 3755528.87344377, 382262.78516746836 3755482.674066215, 382274.7076398039 3755435.0768885957, 382281.9073629384 3755386.5402977527, 382284.31499960227 3755337.531727588))"
1709,4269 S HOOVER ST,,9,2024,92.0,93.0,98.92%,ED1,,,,,,,,,34.0945196,-118.3354878,POINT (376803.18390416144 3773441.129798079),71,"POLYGON ((377303.18390416144 3773441.129798079, 377300.77626749757 3773392.121227914, 377293.57654436305 3773343.584637071, 377281.65407202754 3773295.987459452, 377265.12367041706 3773249.7880818965, 377244.1445363356 3773205.431429666, 377218.9187103127 3773163.344681569, 377189.6891308428 3773123.933155997, 377156.7372947547 3773087.5764074856, 377120.3805462433 3773054.6245713974, 377080.96902067127 3773025.394991928, 377038.88227257447 3773000.1691659046, 376994.525620344 3772979.1900318232, 376948.3262427887 3772962.659630213, 376900.7290651695 3772950.737157877, 376852.19247432624 3772943.537434743, 376803.18390416144 3772941.129798079, 376754.17533399665 3772943.537434743, 376705.63874315337 3772950.737157877, 376658.0415655342 3772962.659630213, 376611.8421879789 3772979.1900318232, 376567.4855357484 3773000.1691659046, 376525.3987876516 3773025.394991928, 376485.9872620796 3773054.6245713974, 376449.6305135682 3773087.5764074856, 376416.6786774801 3773123.933155997, 376387.4490980102 3773163.344681569, 376362.2232719873 3773205.431429666, 376341.24413790583 3773249.7880818965, 376324.71373629535 3773295.987459452, 376312.79126395984 3773343.584637071, 376305.5915408253 3773392.121227914, 376303.18390416144 3773441.129798079, 376305.5915408253 3773490.138368244, 376312.79126395984 3773538.674959087, 376324.71373629535 3773586.272136706, 376341.24413790583 3773632.4715142613, 376362.2232719873 3773676.828166492, 376387.4490980102 3773718.914914589, 376416.6786774801 3773758.3264401606, 376449.6305135682 3773794.683188672, 376485.9872620796 3773827.6350247604, 376525.3987876516 3773856.86460423, 376567.4855357484 3773882.090430253, 376611.8421879789 3773903.0695643346, 376658.0415655342 3773919.599965945, 376705.63874315337 3773931.5224382808, 376754.17533399665 3773938.722161415, 376803.18390416144 3773941.129798079, 376852.19247432624 3773938.722161415, 376900.7290651695 3773931.5224382808, 376948.3262427887 3773919.599965945, 376994.525620344 3773903.0695643346, 377038.88227257447 3773882.090430253, 377080.96902067127 3773856.86460423, 377120.3805462433 3773827.6350247604, 377156.7372947547 3773794.683188672, 377189.6891308428 3773758.3264401606, 377218.9187103127 3773718.914914589, 377244.1445363356 3773676.828166492, 377265.12367041706 3773632.4715142613, 377281.65407202754 3773586.272136706, 377293.57654436305 3773538.674959087, 377300.77626749757 3773490.138368244, 377303.18390416144 3773441.129798079))"
1709,1432 E 25TH ST,,9,2024,54.0,55.0,98.18%,ED1,,,,,,,,,34.0714577,-118.2951191,POINT (380494.97952550696 3770835.8594685756),71,"POLYGON ((380994.97952550696 3770835.8594685756, 380992.5718888431 3770786.8508984107, 380985.37216570857 3770738.3143075677, 380973.44969337306 3770690.7171299485, 380956.9192917626 3770644.517752393, 380935.9401576811 3770600.1611001627, 380910.7143316582 3770558.0743520656, 380881.4847521883 3770518.662826494, 380848.53291610023 3770482.3060779823, 380812.1761675888 3770449.354241894, 380772.7646420168 3770420.1246624244, 380730.67789392 3770394.8988364013, 380686.3212416895 3770373.91970232, 380640.1218641342 3770357.3893007096, 380592.52468651504 3770345.4668283737, 380543.98809567175 3770338.2671052394, 380494.97952550696 3770335.8594685756, 380445.97095534217 3770338.2671052394, 380397.4343644989 3770345.4668283737, 380349.8371868797 3770357.3893007096, 380303.6378093244 3770373.91970232, 380259.28115709394 3770394.8988364013, 380217.19440899714 3770420.1246624244, 380177.7828834251 3770449.354241894, 380141.4261349137 3770482.3060779823, 380108.4742988256 3770518.662826494, 380079.2447193557 3770558.0743520656, 380054.0188933328 3770600.1611001627, 380033.03975925135 3770644.517752393, 380016.50935764087 3770690.7171299485, 380004.58688530535 3770738.3143075677, 379997.38716217084 3770786.8508984107, 379994.97952550696 3770835.8594685756, 379997.38716217084 3770884.8680387405, 380004.58688530535 3770933.4046295835, 380016.50935764087 3770981.0018072026, 380033.03975925135 3771027.201184758, 380054.0188933328 3771071.5578369885, 380079.2447193557 3771113.6445850856, 380108.4742988256 3771153.0561106573, 380141.4261349137 3771189.412859169, 380177.7828834251 3771222.364695257, 380217.19440899714 3771251.5942747267, 380259.28115709394 3771276.82010075, 380303.6378093244 3771297.7992348312, 380349.8371868797 3771314.3296364415, 380397.4343644989 3771326.2521087774, 380445.97095534217 3771333.4518319117, 380494.97952550696 3771335.8594685756, 380543.98809567175 3771333.4518319117, 380592.52468651504 3771326.2521087774, 380640.1218641342 3771314.3296364415, 380686.3212416895 3771297.7992348312, 380730.67789392 3771276.82010075, 380772.7646420168 3771251.5942747267, 380812.1761675888 3771222.364695257, 380848.53291610023 3771189.412859169, 380881.4847521883 3771153.0561106573, 380910.7143316582 3771113.6445850856, 380935.9401576811 3771071.5578369885, 380956.9192917626 3771027.201184758, 380973.44969337306 3770981.0018072026, 380985.37216570857 3770933.4046295835, 380992.5718888431 3770884.8680387405, 380994.97952550696 3770835.8594685756))"
1709,2900 S ORANGE DR,,10,2024,33.0,34.0,97.06%,ED1,,,,,,,,,34.1516608,-118.4287686,POINT (368286.17838709237 3779894.0864600125),71,"POLYGON ((368786.17838709237 3779894.0864600125, 368783.7707504285 3779845.0778898476, 368776.571027294 3779796.5412990046, 368764.64855495846 3779748.9441213855, 368748.118153348 3779702.74474383, 368727.1390192665 3779658.3880915996, 368701.9131932436 3779616.3013435025, 368672.6836137737 3779576.8898179308, 368639.73177768564 3779540.533069419, 368603.3750291742 3779507.581233331, 368563.9635036022 3779478.3516538613, 368521.8767555054 3779453.125827838, 368477.5201032749 3779432.146693757, 368431.3207257196 3779415.6162921465, 368383.72354810045 3779403.6938198106, 368335.18695725716 3779396.4940966764, 368286.17838709237 3779394.0864600125, 368237.1698169276 3779396.4940966764, 368188.6332260843 3779403.6938198106, 368141.0360484651 3779415.6162921465, 368094.83667090983 3779432.146693757, 368050.48001867934 3779453.125827838, 368008.39327058254 3779478.3516538613, 367968.98174501053 3779507.581233331, 367932.6249964991 3779540.533069419, 367899.673160411 3779576.8898179308, 367870.4435809411 3779616.3013435025, 367845.2177549182 3779658.3880915996, 367824.23862083675 3779702.74474383, 367807.7082192263 3779748.9441213855, 367795.78574689076 3779796.5412990046, 367788.58602375624 3779845.0778898476, 367786.17838709237 3779894.0864600125, 367788.58602375624 3779943.0950301774, 367795.78574689076 3779991.6316210204, 367807.7082192263 3780039.2287986395, 367824.23862083675 3780085.428176195, 367845.2177549182 3780129.7848284254, 367870.4435809411 3780171.8715765225, 367899.673160411 3780211.283102094, 367932.6249964991 3780247.6398506057, 367968.98174501053 3780280.591686694, 368008.39327058254 3780309.8212661636, 368050.48001867934 3780335.0470921868, 368094.83667090983 3780356.026226268, 368141.0360484651 3780372.5566278785, 368188.6332260843 3780384.4791002143, 368237.1698169276 3780391.6788233486, 368286.17838709237 3780394.0864600125, 368335.18695725716 3780391.6788233486, 368383.72354810045 3780384.4791002143, 368431.3207257196 3780372.5566278785, 368477.5201032749 3780356.026226268, 368521.8767555054 3780335.0470921868, 368563.9635036022 3780309.8212661636, 368603.3750291742 3780280.591686694, 368639.73177768564 3780247.6398506057, 368672.6836137737 3780211.283102094, 368701.9131932436 3780171.8715765225, 368727.1390192665 3780129.7848284254, 368748.118153348 3780085.428176195, 368764.64855495846 3780039.2287986395, 368776.571027294 3779991.6316210204, 368783.7707504285 3779943.0950301774, 368786.17838709237 3779894.0864600125))"
1709,"1234 W MARTIN LUTHER KING, JR BLVD",,9,2024,16.0,16.0,100.00%,ED1,,,,,,,,,34.0556789,-118.3140753,POINT (378723.23148730915 3769108.4641320747),71,"POLYGON ((379223.23148730915 3769108.4641320747, 379220.8238506453 3769059.45556191, 379213.62412751076 3769010.918971067, 379201.70165517525 3768963.3217934477, 379185.17125356477 3768917.1224158923, 379164.1921194833 3768872.765763662, 379138.9662934604 3768830.6790155647, 379109.7367139905 3768791.267489993, 379076.7848779024 3768754.9107414815, 379040.428129391 3768721.9589053933, 379001.016603819 3768692.7293259236, 378958.9298557222 3768667.5034999005, 378914.5732034917 3768646.524365819, 378868.3738259364 3768629.9939642088, 378820.77664831723 3768618.071491873, 378772.24005747394 3768610.8717687386, 378723.23148730915 3768608.4641320747, 378674.22291714436 3768610.8717687386, 378625.6863263011 3768618.071491873, 378578.0891486819 3768629.9939642088, 378531.8897711266 3768646.524365819, 378487.5331188961 3768667.5034999005, 378445.4463707993 3768692.7293259236, 378406.0348452273 3768721.9589053933, 378369.6780967159 3768754.9107414815, 378336.7262606278 3768791.267489993, 378307.4966811579 3768830.6790155647, 378282.270855135 3768872.765763662, 378261.29172105354 3768917.1224158923, 378244.76131944306 3768963.3217934477, 378232.83884710755 3769010.918971067, 378225.63912397303 3769059.45556191, 378223.23148730915 3769108.4641320747, 378225.63912397303 3769157.4727022396, 378232.83884710755 3769206.0092930826, 378244.76131944306 3769253.6064707018, 378261.29172105354 3769299.805848257, 378282.270855135 3769344.1625004876, 378307.4966811579 3769386.2492485847, 378336.7262606278 3769425.6607741565, 378369.6780967159 3769462.017522668, 378406.0348452273 3769494.969358756, 378445.4463707993 3769524.198938226, 378487.5331188961 3769549.424764249, 378531.8897711266 3769570.4038983304, 378578.0891486819 3769586.9342999407, 378625.6863263011 3769598.8567722766, 378674.22291714436 3769606.056495411, 378723.23148730915 3769608.4641320747, 378772.24005747394 3769606.056495411, 378820.77664831723 3769598.8567722766, 378868.3738259364 3769586.9342999407, 378914.5732034917 3769570.4038983304, 378958.9298557222 3769549.424764249, 379001.016603819 3769524.198938226, 379040.428129391 3769494.969358756, 379076.7848779024 3769462.017522668, 379109.7367139905 3769425.6607741565, 379138.9662934604 3769386.2492485847, 379164.1921194833 3769344.1625004876, 379185.17125356477 3769299.805848257, 379201.70165517525 3769253.6064707018, 379213.62412751076 3769206.0092930826, 379220.8238506453 3769157.4727022396, 379223.23148730915 3769108.4641320747))"
1709,121 N MATHEWS ST,,14,2024,39.0,40.0,97.50%,ED1,,,,,,,,,34.0684232,-118.2952384,POINT (380479.70846854127 3770499.5034540812),71,"POLYGON ((380979.70846854127 3770499.5034540812, 380977.3008318774 3770450.4948839163, 380970.1011087429 3770401.9582930733, 380958.17863640736 3770354.361115454, 380941.6482347969 3770308.161737899, 380920.66910071543 3770263.8050856683, 380895.4432746925 3770221.7183375712, 380866.2136952226 3770182.3068119995, 380833.26185913454 3770145.950063488, 380796.9051106231 3770112.9982274, 380757.4935850511 3770083.76864793, 380715.4068369543 3770058.542821907, 380671.0501847238 3770037.5636878256, 380624.8508071685 3770021.0332862153, 380577.25362954935 3770009.1108138794, 380528.71703870606 3770001.911090745, 380479.70846854127 3769999.5034540812, 380430.6998983765 3770001.911090745, 380382.1633075332 3770009.1108138794, 380334.566129914 3770021.0332862153, 380288.36675235874 3770037.5636878256, 380244.01010012825 3770058.542821907, 380201.92335203144 3770083.76864793, 380162.51182645943 3770112.9982274, 380126.155077948 3770145.950063488, 380093.2032418599 3770182.3068119995, 380063.97366239 3770221.7183375712, 380038.7478363671 3770263.8050856683, 380017.76870228566 3770308.161737899, 380001.2383006752 3770354.361115454, 379989.31582833966 3770401.9582930733, 379982.11610520515 3770450.4948839163, 379979.70846854127 3770499.5034540812, 379982.11610520515 3770548.512024246, 379989.31582833966 3770597.048615089, 380001.2383006752 3770644.6457927083, 380017.76870228566 3770690.8451702637, 380038.7478363671 3770735.201822494, 380063.97366239 3770777.2885705912, 380093.2032418599 3770816.700096163, 380126.155077948 3770853.0568446745, 380162.51182645943 3770886.0086807627, 380201.92335203144 3770915.2382602324, 380244.01010012825 3770940.4640862555, 380288.36675235874 3770961.443220337, 380334.566129914 3770977.973621947, 380382.1633075332 3770989.896094283, 380430.6998983765 3770997.0958174174, 380479.70846854127 3770999.5034540812, 380528.71703870606 3770997.0958174174, 380577.25362954935 3770989.896094283, 380624.8508071685 3770977.973621947, 380671.0501847238 3770961.443220337, 380715.4068369543 3770940.4640862555, 380757.4935850511 3770915.2382602324, 380796.9051106231 3770886.0086807627, 380833.26185913454 3770853.0568446745, 380866.2136952226 3770816.700096163, 380895.4432746925 3770777.2885705912, 380920.66910071543 3770735.201822494, 380941.6482347969 3770690.8451702637, 380958.17863640736 3770644.6457927083, 380970.1011087429 3770597.048615089, 380977.3008318774 3770548.512024246, 380979.70846854127 3770499.5034540812))"
1709,5753 S BRYNHURST AVE,,8,2024,52.0,53.0,98.11%,ED1,,,,,,,,,34.0892795,-118.3015886,POINT (379923.13981815457 3772819.702715762),71,"POLYGON ((380423.13981815457 3772819.702715762, 380420.7321814907 3772770.694145597, 380413.5324583562 3772722.157554754, 380401.60998602066 3772674.560377135, 380385.0795844102 3772628.3609995795, 380364.1004503287 3772584.004347349, 380338.8746243058 3772541.917599252, 380309.6450448359 3772502.5060736802, 380276.69320874783 3772466.1493251687, 380240.3364602364 3772433.1974890805, 380200.9249346644 3772403.967909611, 380158.8381865676 3772378.7420835877, 380114.4815343371 3772357.7629495063, 380068.2821567818 3772341.232547896, 380020.68497916264 3772329.31007556, 379972.14838831936 3772322.110352426, 379923.13981815457 3772319.702715762, 379874.1312479898 3772322.110352426, 379825.5946571465 3772329.31007556, 379777.9974795273 3772341.232547896, 379731.79810197203 3772357.7629495063, 379687.44144974154 3772378.7420835877, 379645.35470164474 3772403.967909611, 379605.94317607273 3772433.1974890805, 379569.5864275613 3772466.1493251687, 379536.6345914732 3772502.5060736802, 379507.4050120033 3772541.917599252, 379482.1791859804 3772584.004347349, 379461.20005189895 3772628.3609995795, 379444.6696502885 3772674.560377135, 379432.74717795296 3772722.157554754, 379425.54745481844 3772770.694145597, 379423.13981815457 3772819.702715762, 379425.54745481844 3772868.711285927, 379432.74717795296 3772917.24787677, 379444.6696502885 3772964.845054389, 379461.20005189895 3773011.0444319444, 379482.1791859804 3773055.401084175, 379507.4050120033 3773097.487832272, 379536.6345914732 3773136.8993578437, 379569.5864275613 3773173.256106355, 379605.94317607273 3773206.2079424434, 379645.35470164474 3773235.437521913, 379687.44144974154 3773260.6633479362, 379731.79810197203 3773281.6424820176, 379777.9974795273 3773298.172883628, 379825.5946571465 3773310.095355964, 379874.1312479898 3773317.295079098, 379923.13981815457 3773319.702715762, 379972.14838831936 3773317.295079098, 380020.68497916264 3773310.095355964, 380068.2821567818 3773298.172883628, 380114.4815343371 3773281.6424820176, 380158.8381865676 3773260.6633479362, 380200.9249346644 3773235.437521913, 380240.3364602364 3773206.2079424434, 380276.69320874783 3773173.256106355, 380309.6450448359 3773136.8993578437, 380338.8746243058 3773097.487832272, 380364.1004503287 3773055.401084175, 380385.0795844102 3773011.0444319444, 380401.60998602066 3772964.845054389, 380413.5324583562 3772917.24787677, 380420.7321814907 3772868.711285927, 380423.13981815457 3772819.702715762))"
1709,17184 W CHATSWORTH ST,,12,2024,68.0,69.0,98.55%,ED1,,,,,,,,,34.0444659,-118.2150391,POINT (387849.1095512564 3767752.080862247),71,"POLYGON ((388349.1095512564 3767752.080862247, 388346.70191459253 3767703.072292082, 388339.502191458 3767654.535701239, 388327.5797191225 3767606.93852362, 388311.049317512 3767560.7391460645, 388290.07018343057 3767516.382493834, 388264.84435740765 3767474.295745737, 388235.61477793776 3767434.884220165, 388202.6629418497 3767398.5274716537, 388166.30619333824 3767365.5756355654, 388126.89466776623 3767336.346056096, 388084.80791966943 3767311.1202300726, 388040.45126743894 3767290.1410959912, 387994.25188988366 3767273.610694381, 387946.6547122645 3767261.688222045, 387898.1181214212 3767254.488498911, 387849.1095512564 3767252.080862247, 387800.1009810916 3767254.488498911, 387751.5643902483 3767261.688222045, 387703.96721262916 3767273.610694381, 387657.7678350739 3767290.1410959912, 387613.4111828434 3767311.1202300726, 387571.3244347466 3767336.346056096, 387531.91290917457 3767365.5756355654, 387495.55616066314 3767398.5274716537, 387462.60432457505 3767434.884220165, 387433.37474510516 3767474.295745737, 387408.14891908225 3767516.382493834, 387387.1697850008 3767560.7391460645, 387370.6393833903 3767606.93852362, 387358.7169110548 3767654.535701239, 387351.5171879203 3767703.072292082, 387349.1095512564 3767752.080862247, 387351.5171879203 3767801.089432412, 387358.7169110548 3767849.626023255, 387370.6393833903 3767897.223200874, 387387.1697850008 3767943.4225784293, 387408.14891908225 3767987.77923066, 387433.37474510516 3768029.865978757, 387462.60432457505 3768069.2775043286, 387495.55616066314 3768105.63425284, 387531.91290917457 3768138.5860889284, 387571.3244347466 3768167.815668398, 387613.4111828434 3768193.041494421, 387657.7678350739 3768214.0206285026, 387703.96721262916 3768230.551030113, 387751.5643902483 3768242.4735024488, 387800.1009810916 3768249.673225583, 387849.1095512564 3768252.080862247, 387898.1181214212 3768249.673225583, 387946.6547122645 3768242.4735024488, 387994.25188988366 3768230.551030113, 388040.45126743894 3768214.0206285026, 388084.80791966943 3768193.041494421, 388126.89466776623 3768167.815668398, 388166.30619333824 3768138.5860889284, 388202.6629418497 3768105.63425284, 388235.61477793776 3768069.2775043286, 388264.84435740765 3768029.865978757, 388290.07018343057 3767987.77923066, 388311.049317512 3767943.4225784293, 388327.5797191225 3767897.223200874, 388339.502191458 3767849.626023255, 388346.70191459253 3767801.089432412, 388349.1095512564 3767752.080862247))"
1709,5326 N FIGUEROA ST,,1,2024,34.0,35.0,97.14%,ED1,,,,,,,,,34.1868294,-118.4720413,POINT (364352.96591479564 3783850.8051379253),71,"POLYGON ((364852.96591479564 3783850.8051379253, 364850.55827813176 3783801.7965677604, 364843.35855499725 3783753.2599769174, 364831.43608266173 3783705.6627992983, 364814.90568105126 3783659.463421743, 364793.9265469698 3783615.1067695124, 364768.7007209469 3783573.0200214153, 364739.471141477 3783533.6084958436, 364706.5193053889 3783497.251747332, 364670.1625568775 3783464.299911244, 364630.75103130547 3783435.070331774, 364588.66428320867 3783409.844505751, 364544.3076309782 3783388.8653716696, 364498.1082534229 3783372.3349700593, 364450.5110758037 3783360.4124977235, 364401.97448496043 3783353.212774589, 364352.96591479564 3783350.8051379253, 364303.95734463085 3783353.212774589, 364255.42075378756 3783360.4124977235, 364207.8235761684 3783372.3349700593, 364161.6241986131 3783388.8653716696, 364117.2675463826 3783409.844505751, 364075.1807982858 3783435.070331774, 364035.7692727138 3783464.299911244, 363999.4125242024 3783497.251747332, 363966.4606881143 3783533.6084958436, 363937.2311086444 3783573.0200214153, 363912.0052826215 3783615.1067695124, 363891.02614854 3783659.463421743, 363874.49574692955 3783705.6627992983, 363862.57327459403 3783753.2599769174, 363855.3735514595 3783801.7965677604, 363852.96591479564 3783850.8051379253, 363855.3735514595 3783899.81370809, 363862.57327459403 3783948.350298933, 363874.49574692955 3783995.9474765523, 363891.02614854 3784042.1468541077, 363912.0052826215 3784086.503506338, 363937.2311086444 3784128.5902544353, 363966.4606881143 3784168.001780007, 363999.4125242024 3784204.3585285186, 364035.7692727138 3784237.310364607, 364075.1807982858 3784266.5399440764, 364117.2675463826 3784291.7657700996, 364161.6241986131 3784312.744904181, 364207.8235761684 3784329.2753057913, 364255.42075378756 3784341.197778127, 364303.95734463085 3784348.3975012614, 364352.96591479564 3784350.8051379253, 364401.97448496043 3784348.3975012614, 364450.5110758037 3784341.197778127, 364498.1082534229 3784329.2753057913, 364544.3076309782 3784312.744904181, 364588.66428320867 3784291.7657700996, 364630.75103130547 3784266.5399440764, 364670.1625568775 3784237.310364607, 364706.5193053889 3784204.3585285186, 364739.471141477 3784168.001780007, 364768.7007209469 3784128.5902544353, 364793.9265469698 3784086.503506338, 364814.90568105126 3784042.1468541077, 364831.43608266173 3783995.9474765523, 364843.35855499725 3783948.350298933, 364850.55827813176 3783899.81370809, 364852.96591479564 3783850.8051379253))"
