Address,Zip Code,CD#,Year of Covenant,Affordable Units,Total Units,% of Affordable,Entitlements,Type2,AH Studio Unit #,AH 1BR Unit #,AH 2BR Unit #,AH 3BR Unit #,AH 4BR Unit #,AH 5BR Unit#,AH 6BR Unit#,LAT,LONG,Cleaned_Address
"4660 N KESTER AVE Sherman Oaks, CA 91403",91403.0,4,2007,,,,,,,,,,,,,34.15552,-118.4567522,"4660 N KESTER AVE Sherman Oaks, CA"
"6938 N Laurel Canyon BLVD North Hollywood, CA 91605",91605.0,2,2007,,,,,,,,,,,,,34.22603429999999,-118.3974523,"6938 N Laurel Canyon BLVD North Hollywood, CA"
"4520 S FIGUEROA ST 1-21 Los Angeles, CA 90037",90037.0,9,2007,,21.0,,,,,,,,,,,34.0022205,-118.2823568,"4520 S FIGUEROA ST Los Angeles, CA"
"7601 N HOLLYWOOD WAY BURBANK, CA 91505",91505.0,2,2007,,20.0,,,,,,,,,,,34.2084981,-118.3489661,"7601 N HOLLYWOOD WAY BURBANK, CA"
"1421 W TEMPLE ST 1-52 Los Angeles, CA 90026",90026.0,1,2007,,52.0,,,,,,,,,,,34.0676973,-118.2573676,"1421 W TEMPLE ST Los Angeles, CA"
"1117 S WESTLAKE AVE Los Angeles, CA 90006",90006.0,1,2007,,30.0,,,,,,,,,,,34.04940759999999,-118.2802296,"1117 S WESTLAKE AVE Los Angeles, CA"
"225 N AVENUE 25 1-146 Los Angeles, CA 90031",90031.0,1,2007,,146.0,,,,,,,,,,,33.7907058,-118.2669724,"225 N AVENUE Los Angeles, CA"
"7551 N JORDAN AVE Canoga Park, CA 91303",91303.0,3,2007,,41.0,,,,,,,,,,,34.1973966,-118.6028709,"7551 N JORDAN AVE Canoga Park, CA"
"7511 S MAIN ST 1-9 LOS ANGELES, CA 90003",90003.0,9,2007,,8.0,,,,,,,,,,,33.9713885,-118.274246,"7511 S MAIN ST LOS ANGELES, CA"
"3325 S CANFIELD AVE 1-3 Los Angeles, CA 90034",90034.0,5,2007,,27.0,,,,,,,,,,,34.0304429,-118.3951968,"3325 S CANFIELD AVE Los Angeles, CA"
"5231 E HUNTINGTON DR NORTH 1-5 Los Angeles, CA 90032",90032.0,14,2007,,,,,,,,,,,,,34.0903877,-118.1670888,"5231 E HUNTINGTON DR NORTH Los Angeles, CA"
"9015 N ORION AVE 1-21 North Hills, CA 91343",91343.0,7,2007,,,,,,,,,,,,,34.234144,-118.4723103,"9015 N ORION AVE North Hills, CA"
"226 N PARK VIEW ST 1-5 Los Angeles, CA 90026",90026.0,13,2007,,,,,,,,,,,,,34.07037870000001,-118.2722214,"226 N PARK VIEW ST Los Angeles, CA"
"1602 N IVAR AVE 1-104 HOLLYWOOD, CA 90028",90028.0,13,2007,,,,,,,,,,,,,34.1001723,-118.327517,"1602 N IVAR AVE HOLLYWOOD, CA"
"14067 W ASTORIA ST Sylmar, CA 91342",91342.0,7,2007,,,,,,,,,,,,,34.3110457,-118.4400427,"14067 W ASTORIA ST Sylmar, CA"
"2455 W COLORADO BLVD 1-77 Los Angeles, CA 90041",90041.0,14,2007,,77.0,,,,,,,,,,,34.1426179,-118.2710478,"2455 W COLORADO BLVD Los Angeles, CA"
"640 N KINGSLEY DR 1-12 Los Angeles, CA 90004",90004.0,13,2007,,,,,,,,,,,,,34.0828265,-118.3028622,"640 N KINGSLEY DR Los Angeles, CA"
"15532 W NORDHOFF ST North Hills, CA 91343",91343.0,7,2007,,31.0,,,,,,,,,,,34.2350457,-118.4710724,"15532 W NORDHOFF ST North Hills, CA"
"11049 W MCCORMICK ST North Hollywood, CA 91601",91601.0,2,2007,,105.0,,,,,,,,,,,34.1661935,-118.3720257,"11049 W MCCORMICK ST North Hollywood, CA"
"6033 W ELEANOR AVE 1-8 Los Angeles, CA 90038",90038.0,13,2007,,,,,,,,,,,,,34.0901089,-118.3234594,"6033 W ELEANOR AVE Los Angeles, CA"
"4550 N FULTON AVE 101-124 Sherman Oaks, CA 91423",91423.0,4,2007,,40.0,,,,,,,,,,,34.1534971,-118.4221331,"4550 N FULTON AVE Sherman Oaks, CA"
"4709 S 2ND AVE Los Angeles, CA 90043",90043.0,8,2007,,3.0,,,,,,,,,,,33.9664161,-118.3188088,"4709 S 2ND AVE Los Angeles, CA"
"4115 Glencoe AVE Marina Del Rey, CA 90292",90292.0,11,2007,,61.0,,,,,,,,,,,33.9890225,-118.4430523,"4115 Glencoe AVE Marina Del Rey, CA"
"165 W 42ND PL LOS ANGELES, CA 90037",90037.0,9,2007,,3.0,,,,,,,,,,,34.006785,-118.275582,"165 W 42ND PL LOS ANGELES, CA"
"2637 S MANHATTAN PL Los Angeles, CA 90018",90018.0,10,2007,,9.0,,,,,,,,,,,34.0315848,-118.3103371,"2637 S MANHATTAN PL Los Angeles, CA"
"16601 W FOOTHILL BLVD Sylmar, CA 91342",91342.0,7,2008,,223.0,,,,,,,,,,,34.3198296,-118.4920499,"16601 W FOOTHILL BLVD Sylmar, CA"
"13140 N DRONFIELD AVE Sylmar, CA 91342",91342.0,7,2008,,48.0,,,,,,,,,,,34.3098103,-118.4390944,"13140 N DRONFIELD AVE Sylmar, CA"
"6808 S HOOVER ST 1-6 LOS ANGELES, CA 90044",90044.0,8,2008,,6.0,,,,,,,,,,,33.9779337,-118.2867571,"6808 S HOOVER ST LOS ANGELES, CA"
"14078 W ASTORIA ST Sylmar, CA 91342",91342.0,7,2008,,48.0,,,,,,,,,,,34.3102113,-118.4398712,"14078 W ASTORIA ST Sylmar, CA"
"9050 LAUREL CANYON BLVD Sun Valley, CA 91352",91352.0,6,2008,,60.0,,,,,,,,,,,34.2340878,-118.4055088,"9050 LAUREL CANYON BLVD Sun Valley, CA"
"10558 W EASTBORNE AVE 1-9 Los Angeles, CA 90024",90024.0,5,2008,,10.0,,,,,,,,,,,34.0549162,-118.4292699,"10558 W EASTBORNE AVE Los Angeles, CA"
"10644 W EASTBORNE AVE 1-17 Los Angeles, CA 90024",90024.0,5,2008,,24.0,,,,,,,,,,,34.0536796,-118.4310873,"10644 W EASTBORNE AVE Los Angeles, CA"
"20422 W COHASSET ST Winnetka, CA 91306",91306.0,3,2008,,38.0,,,,,,,,,,,34.2064701,-118.5742363,"20422 W COHASSET ST Winnetka, CA"
