APN,Application Received,Application Year,Council District,Address,City,Zip,Units Withdrawn,Replacement Unit,Latitude,Longitude
2040031029,11/6/2019,2019,3,22729 W DEL VALLE ST,LOS ANGELES ,91364.0,3.0,,34.1657949,-118.6212484
2040031030,12/4/2019,2019,3,22727 W DEL VALLE ST,WOODLAND HILLS ,91364.0,3.0,,34.1659581,-118.6212372
2040031050,2/25/2016,2016,3,22769 W DEL VALLE ST,LOS ANGELES ,91364.0,2.0,22.0,34.1655084,-118.6226958
2040033033,2/10/2016,2016,3,22431 W DEL VALLE ST,WOODLAND HILLS ,91364.0,3.0,,34.1674185,-118.6166067
2107011026,6/29/2023,2023,3,20137 W ARMINTA ST,LOS ANGELES ,91306.0,2.0,,34.213476,-118.4227404
2107014004,4/21/2020,2020,3,20327 W STAGG ST,LOS ANGELES ,91306.0,3.0,,34.2114688,-118.5762592
2111016023,10/24/2022,2022,3,21420 W VALERIO ST,LOS ANGELES ,91303.0,1.0,,34.2049386,-118.3617432
2111025021,3/16/2016,2016,3,7118 N JORDAN AVE,CANOGA PARK ,91303.0,2.0,9.0,34.1973966,-118.6028709
2112024012,8/13/2015,2015,3,7310 N ETON AVE,LOS ANGELES ,91303.0,2.0,,34.1948973,-118.5954786
2112024025,4/18/2023,2023,3,7353 N MILWOOD AVE,LOS ANGELES ,91303.0,3.0,,34.2047007,-118.5943077
2121005006,8/11/2015,2015,3,7325 N ENFIELD AVE,LOS ANGELES ,91335.0,1.0,,34.2036954,-118.5244159
2126006014,2/13/2015,2015,3,18561 W GAULT ST,LOS ANGELES ,91335.0,2.0,33.0,34.2000208,-118.619155
2126023007,8/15/2013,2013,4,6819 N BAIRD AVE,RESEDA ,91335.0,2.0,7.0,34.1944526,-118.5376939
2129035010,9/28/2016,2016,3,18917 W GAULT ST,RESEDA ,91335.0,3.0,,34.2000208,-118.619155
2138013009,6/19/2018,2018,3,7018 N ALABAMA AVE,LOS ANGELES ,91303.0,1.0,9.0,34.2634804,-118.600207
2149012014,1/25/2023,2023,3,20875 W EXHIBIT PL,LOS ANGELES ,91367.0,2.0,,34.1790671,-118.5878451
2153025014,9/1/2020,2020,3,5649 N MELVIN AVE,LOS ANGELES ,91356.0,2.0,,34.1744699,-118.56034
2153027017,1/26/2017,2017,3,5836 N MELVIN AVE,LOS ANGELES ,91356.0,2.0,,34.176921,-118.5597586
2160004003,10/4/2016,2016,3,18525 W CLARK ST,LOS ANGELES ,91356.0,1.0,,34.1706241,-118.5368961
2161023015,8/15/2022,2022,3,5165 N AVENIDA ORIENTE ,LOS ANGELES ,91356.0,2.0,,34.1620425,-118.5323434
2182008020,7/19/2007,2007,4,5114 N ENFIELD AVE,ENCINO ,91316.0,2.0,,34.1628083,-118.5237023
2203017041,7/19/2007,2007,6,7450 N LOUISE AVE,VAN NUYS ,91406.0,1.0,,34.1885072,-118.5100625
2206035020,5/1/2019,2019,6,16008 W CANTLAY ST,VAN NUYS ,91406.0,2.0,6.0,34.2020906,-118.5058112
2209001020,1/9/2024,2024,6,8218 N SEPULVEDA PL,LOS ANGELES ,91402.0,2.0,,34.2202532,-118.4659343
2210020017,6/26/2018,2018,6,14721 W BLYTHE ST,VAN NUYS ,91402.0,4.0,,34.2149316,-118.5636617
2210020018,6/26/2018,2018,6,14715 W BLYTHE ST,VAN NUYS ,91402.0,4.0,,34.2149316,-118.5636617
2212010003,12/11/2018,2018,6,14246 W ROSCOE ,VAN NUYS ,91402.0,2.0,6.0,34.2012166,-118.466222
2213001024,7/7/2023,2023,6,13938 W ROSCOE BLVD,LOS ANGELES ,91402.0,2.0,,34.221406,-118.5039094
2214026021,7/15/2014,2014,6,7941 N VENTURA CANYON AVE,Los Angeles ,91402.0,2.0,34.0,34.21487,-118.42885
2216013038,6/23/2017,2017,2,6830 N HAZELTINE AVE,VAN NUYS ,91405.0,3.0,,34.1949395,-118.4396214
2216017011,3/12/2019,2019,2,13921 W VANOWEN ST,LOS ANGELES ,91405.0,4.0,,34.1942667,-118.4364585
2217007037,4/15/2015,2015,6,14429 W VOSE ST,VAN NUYS ,91405.0,2.0,,34.1987846,-118.4475882
2217011064,3/19/2015,2015,6,6854 N TYRONE AVE,VAN NUYS ,91405.0,2.0,,34.15499190000001,-118.4443514
2217014010,7/23/2019,2019,6,6853 N HAZELTINE AVE,VAN NUYS ,91405.0,4.0,,34.1955087,-118.440246
2219023005,10/6/2015,2015,6,6835 N VESPER AVE,VAN NUYS ,91405.0,1.0,,34.1950369,-118.4512301
2219026021,8/9/2013,2013,6,6906 N VESPER AVE,VAN NUYS ,91405.0,2.0,49.0,34.195946,-118.4505811
2219026052,8/9/2013,2013,6,6908 N VESPER AVE,VAN NUYS ,91405.0,9.0,0.0,34.1960511,-118.4505678
2221021005,11/21/2016,2016,6,14912 W WYANDOTTE ST,VAN NUYS ,91405.0,6.0,10.0,34.2030335,-118.4393107
2224004006,7/23/2018,2018,6,16034 W SHERMAN WAY,VAN NUYS ,91406.0,4.0,54.0,34.20108099999999,-118.5199707
2224008002,6/21/2023,2023,6,7046 N WOODLEY AVE,VAN NUYS ,91406.0,4.0,,34.1988373,-118.4831427
2224025013,6/25/2020,2020,6,6855 N WOODLEY AVE,VAN NUYS ,91406.0,2.0,,34.19554,-118.48388
2224028045,5/28/2020,2020,6,15901 W VANOWEN ST,VAN NUYS ,91406.0,2.0,6.0,34.1941,-118.47948
2225009009,6/24/2014,2014,6,16617 W VANOWEN ST,VAN NUYS ,91406.0,4.0,,34.1940671,-118.4951302
