Address,Zip,CD#,Year of Covenant,Affordable Units,Total Units,% of Affordable,Entitlements,Type2,AH Studio Unit #,AH 1BR Unit #,AH 2BR Unit #,AH 3BR Unit #,AH 4BR Unit #,AH 5BR Unit#,AH 6BR Unit#,Latitude,Longitude,Cleaned_Address,geometry,index_right,buffer
"6938 N Laurel Canyon BLVD North Hollywood, CA 91605",91605.0,2,2007,,,,,,,,,,,,,34.22603429999999,-118.3974523,"6938 N Laurel Canyon BLVD North Hollywood, CA",POINT (371286.4067429061 3788101.654962715),305,"POLYGON ((371786.4067429061 3788101.654962715, 371783.9991062422 3788052.6463925503, 371776.7993831077 3788004.1098017073, 371764.8769107722 3787956.512624088, 371748.3465091617 3787910.313246533, 371727.36737508024 3787865.9565943023, 371702.1415490573 3787823.869846205, 371672.91196958744 3787784.4583206335, 371639.96013349935 3787748.101572122, 371603.6033849879 3787715.1497360338, 371564.1918594159 3787685.920156564, 371522.1051113191 3787660.694330541, 371477.7484590886 3787639.7151964596, 371431.54908153333 3787623.1847948493, 371383.95190391416 3787611.2623225134, 371335.4153130709 3787604.062599379, 371286.4067429061 3787601.654962715, 371237.3981727413 3787604.062599379, 371188.861581898 3787611.2623225134, 371141.26440427883 3787623.1847948493, 371095.06502672355 3787639.7151964596, 371050.70837449306 3787660.694330541, 371008.62162639626 3787685.920156564, 370969.21010082425 3787715.1497360338, 370932.8533523128 3787748.101572122, 370899.9015162247 3787784.4583206335, 370870.67193675484 3787823.869846205, 370845.4461107319 3787865.9565943023, 370824.46697665047 3787910.313246533, 370807.93657504 3787956.512624088, 370796.0141027045 3788004.1098017073, 370788.81437956996 3788052.6463925503, 370786.4067429061 3788101.654962715, 370788.81437956996 3788150.66353288, 370796.0141027045 3788199.200123723, 370807.93657504 3788246.7973013422, 370824.46697665047 3788292.9966788976, 370845.4461107319 3788337.353331128, 370870.67193675484 3788379.440079225, 370899.9015162247 3788418.851604797, 370932.8533523128 3788455.2083533085, 370969.21010082425 3788488.1601893967, 371008.62162639626 3788517.3897688664, 371050.70837449306 3788542.6155948895, 371095.06502672355 3788563.594728971, 371141.26440427883 3788580.125130581, 371188.861581898 3788592.047602917, 371237.3981727413 3788599.2473260514, 371286.4067429061 3788601.654962715, 371335.4153130709 3788599.2473260514, 371383.95190391416 3788592.047602917, 371431.54908153333 3788580.125130581, 371477.7484590886 3788563.594728971, 371522.1051113191 3788542.6155948895, 371564.1918594159 3788517.3897688664, 371603.6033849879 3788488.1601893967, 371639.96013349935 3788455.2083533085, 371672.91196958744 3788418.851604797, 371702.1415490573 3788379.440079225, 371727.36737508024 3788337.353331128, 371748.3465091617 3788292.9966788976, 371764.8769107722 3788246.7973013422, 371776.7993831077 3788199.200123723, 371783.9991062422 3788150.66353288, 371786.4067429061 3788101.654962715))"
"6938 N Laurel Canyon BLVD North Hollywood, CA 91605",91605.0,2,2007,,,,,,,,,,,,,34.22603429999999,-118.3974523,"6938 N Laurel Canyon BLVD North Hollywood, CA",POINT (371286.4067429061 3788101.654962715),339,"POLYGON ((371786.4067429061 3788101.654962715, 371783.9991062422 3788052.6463925503, 371776.7993831077 3788004.1098017073, 371764.8769107722 3787956.512624088, 371748.3465091617 3787910.313246533, 371727.36737508024 3787865.9565943023, 371702.1415490573 3787823.869846205, 371672.91196958744 3787784.4583206335, 371639.96013349935 3787748.101572122, 371603.6033849879 3787715.1497360338, 371564.1918594159 3787685.920156564, 371522.1051113191 3787660.694330541, 371477.7484590886 3787639.7151964596, 371431.54908153333 3787623.1847948493, 371383.95190391416 3787611.2623225134, 371335.4153130709 3787604.062599379, 371286.4067429061 3787601.654962715, 371237.3981727413 3787604.062599379, 371188.861581898 3787611.2623225134, 371141.26440427883 3787623.1847948493, 371095.06502672355 3787639.7151964596, 371050.70837449306 3787660.694330541, 371008.62162639626 3787685.920156564, 370969.21010082425 3787715.1497360338, 370932.8533523128 3787748.101572122, 370899.9015162247 3787784.4583206335, 370870.67193675484 3787823.869846205, 370845.4461107319 3787865.9565943023, 370824.46697665047 3787910.313246533, 370807.93657504 3787956.512624088, 370796.0141027045 3788004.1098017073, 370788.81437956996 3788052.6463925503, 370786.4067429061 3788101.654962715, 370788.81437956996 3788150.66353288, 370796.0141027045 3788199.200123723, 370807.93657504 3788246.7973013422, 370824.46697665047 3788292.9966788976, 370845.4461107319 3788337.353331128, 370870.67193675484 3788379.440079225, 370899.9015162247 3788418.851604797, 370932.8533523128 3788455.2083533085, 370969.21010082425 3788488.1601893967, 371008.62162639626 3788517.3897688664, 371050.70837449306 3788542.6155948895, 371095.06502672355 3788563.594728971, 371141.26440427883 3788580.125130581, 371188.861581898 3788592.047602917, 371237.3981727413 3788599.2473260514, 371286.4067429061 3788601.654962715, 371335.4153130709 3788599.2473260514, 371383.95190391416 3788592.047602917, 371431.54908153333 3788580.125130581, 371477.7484590886 3788563.594728971, 371522.1051113191 3788542.6155948895, 371564.1918594159 3788517.3897688664, 371603.6033849879 3788488.1601893967, 371639.96013349935 3788455.2083533085, 371672.91196958744 3788418.851604797, 371702.1415490573 3788379.440079225, 371727.36737508024 3788337.353331128, 371748.3465091617 3788292.9966788976, 371764.8769107722 3788246.7973013422, 371776.7993831077 3788199.200123723, 371783.9991062422 3788150.66353288, 371786.4067429061 3788101.654962715))"
"6938 N Laurel Canyon BLVD North Hollywood, CA 91605",91605.0,2,2007,,,,,,,,,,,,,34.22603429999999,-118.3974523,"6938 N Laurel Canyon BLVD North Hollywood, CA",POINT (371286.4067429061 3788101.654962715),340,"POLYGON ((371786.4067429061 3788101.654962715, 371783.9991062422 3788052.6463925503, 371776.7993831077 3788004.1098017073, 371764.8769107722 3787956.512624088, 371748.3465091617 3787910.313246533, 371727.36737508024 3787865.9565943023, 371702.1415490573 3787823.869846205, 371672.91196958744 3787784.4583206335, 371639.96013349935 3787748.101572122, 371603.6033849879 3787715.1497360338, 371564.1918594159 3787685.920156564, 371522.1051113191 3787660.694330541, 371477.7484590886 3787639.7151964596, 371431.54908153333 3787623.1847948493, 371383.95190391416 3787611.2623225134, 371335.4153130709 3787604.062599379, 371286.4067429061 3787601.654962715, 371237.3981727413 3787604.062599379, 371188.861581898 3787611.2623225134, 371141.26440427883 3787623.1847948493, 371095.06502672355 3787639.7151964596, 371050.70837449306 3787660.694330541, 371008.62162639626 3787685.920156564, 370969.21010082425 3787715.1497360338, 370932.8533523128 3787748.101572122, 370899.9015162247 3787784.4583206335, 370870.67193675484 3787823.869846205, 370845.4461107319 3787865.9565943023, 370824.46697665047 3787910.313246533, 370807.93657504 3787956.512624088, 370796.0141027045 3788004.1098017073, 370788.81437956996 3788052.6463925503, 370786.4067429061 3788101.654962715, 370788.81437956996 3788150.66353288, 370796.0141027045 3788199.200123723, 370807.93657504 3788246.7973013422, 370824.46697665047 3788292.9966788976, 370845.4461107319 3788337.353331128, 370870.67193675484 3788379.440079225, 370899.9015162247 3788418.851604797, 370932.8533523128 3788455.2083533085, 370969.21010082425 3788488.1601893967, 371008.62162639626 3788517.3897688664, 371050.70837449306 3788542.6155948895, 371095.06502672355 3788563.594728971, 371141.26440427883 3788580.125130581, 371188.861581898 3788592.047602917, 371237.3981727413 3788599.2473260514, 371286.4067429061 3788601.654962715, 371335.4153130709 3788599.2473260514, 371383.95190391416 3788592.047602917, 371431.54908153333 3788580.125130581, 371477.7484590886 3788563.594728971, 371522.1051113191 3788542.6155948895, 371564.1918594159 3788517.3897688664, 371603.6033849879 3788488.1601893967, 371639.96013349935 3788455.2083533085, 371672.91196958744 3788418.851604797, 371702.1415490573 3788379.440079225, 371727.36737508024 3788337.353331128, 371748.3465091617 3788292.9966788976, 371764.8769107722 3788246.7973013422, 371776.7993831077 3788199.200123723, 371783.9991062422 3788150.66353288, 371786.4067429061 3788101.654962715))"
"6938 N Laurel Canyon BLVD North Hollywood, CA 91605",91605.0,2,2007,,,,,,,,,,,,,34.22603429999999,-118.3974523,"6938 N Laurel Canyon BLVD North Hollywood, CA",POINT (371286.4067429061 3788101.654962715),341,"POLYGON ((371786.4067429061 3788101.654962715, 371783.9991062422 3788052.6463925503, 371776.7993831077 3788004.1098017073, 371764.8769107722 3787956.512624088, 371748.3465091617 3787910.313246533, 371727.36737508024 3787865.9565943023, 371702.1415490573 3787823.869846205, 371672.91196958744 3787784.4583206335, 371639.96013349935 3787748.101572122, 371603.6033849879 3787715.1497360338, 371564.1918594159 3787685.920156564, 371522.1051113191 3787660.694330541, 371477.7484590886 3787639.7151964596, 371431.54908153333 3787623.1847948493, 371383.95190391416 3787611.2623225134, 371335.4153130709 3787604.062599379, 371286.4067429061 3787601.654962715, 371237.3981727413 3787604.062599379, 371188.861581898 3787611.2623225134, 371141.26440427883 3787623.1847948493, 371095.06502672355 3787639.7151964596, 371050.70837449306 3787660.694330541, 371008.62162639626 3787685.920156564, 370969.21010082425 3787715.1497360338, 370932.8533523128 3787748.101572122, 370899.9015162247 3787784.4583206335, 370870.67193675484 3787823.869846205, 370845.4461107319 3787865.9565943023, 370824.46697665047 3787910.313246533, 370807.93657504 3787956.512624088, 370796.0141027045 3788004.1098017073, 370788.81437956996 3788052.6463925503, 370786.4067429061 3788101.654962715, 370788.81437956996 3788150.66353288, 370796.0141027045 3788199.200123723, 370807.93657504 3788246.7973013422, 370824.46697665047 3788292.9966788976, 370845.4461107319 3788337.353331128, 370870.67193675484 3788379.440079225, 370899.9015162247 3788418.851604797, 370932.8533523128 3788455.2083533085, 370969.21010082425 3788488.1601893967, 371008.62162639626 3788517.3897688664, 371050.70837449306 3788542.6155948895, 371095.06502672355 3788563.594728971, 371141.26440427883 3788580.125130581, 371188.861581898 3788592.047602917, 371237.3981727413 3788599.2473260514, 371286.4067429061 3788601.654962715, 371335.4153130709 3788599.2473260514, 371383.95190391416 3788592.047602917, 371431.54908153333 3788580.125130581, 371477.7484590886 3788563.594728971, 371522.1051113191 3788542.6155948895, 371564.1918594159 3788517.3897688664, 371603.6033849879 3788488.1601893967, 371639.96013349935 3788455.2083533085, 371672.91196958744 3788418.851604797, 371702.1415490573 3788379.440079225, 371727.36737508024 3788337.353331128, 371748.3465091617 3788292.9966788976, 371764.8769107722 3788246.7973013422, 371776.7993831077 3788199.200123723, 371783.9991062422 3788150.66353288, 371786.4067429061 3788101.654962715))"
"7551 N JORDAN AVE Canoga Park, CA 91303",91303.0,3,2007,,41.0,,,,,,,,,,,34.1973966,-118.6028709,"7551 N JORDAN AVE Canoga Park, CA",POINT (352314.46529754973 3785204.5167532666),7,"POLYGON ((352814.46529754973 3785204.5167532666, 352812.05766088585 3785155.5081831017, 352804.85793775134 3785106.9715922587, 352792.9354654158 3785059.3744146395, 352776.40506380534 3785013.175037084, 352755.4259297239 3784968.8183848537, 352730.200103701 3784926.7316367566, 352700.9705242311 3784887.320111185, 352668.018688143 3784850.9633626733, 352631.66193963157 3784818.011526585, 352592.25041405956 3784788.7819471154, 352550.16366596275 3784763.5561210923, 352505.80701373226 3784742.576987011, 352459.607636177 3784726.0465854006, 352412.0104585578 3784714.1241130647, 352363.4738677145 3784706.9243899304, 352314.46529754973 3784704.5167532666, 352265.45672738494 3784706.9243899304, 352216.92013654165 3784714.1241130647, 352169.3229589225 3784726.0465854006, 352123.1235813672 3784742.576987011, 352078.7669291367 3784763.5561210923, 352036.6801810399 3784788.7819471154, 351997.2686554679 3784818.011526585, 351960.91190695646 3784850.9633626733, 351927.9600708684 3784887.320111185, 351898.7304913985 3784926.7316367566, 351873.50466537557 3784968.8183848537, 351852.5255312941 3785013.175037084, 351835.99512968364 3785059.3744146395, 351824.0726573481 3785106.9715922587, 351816.8729342136 3785155.5081831017, 351814.46529754973 3785204.5167532666, 351816.8729342136 3785253.5253234315, 351824.0726573481 3785302.0619142745, 351835.99512968364 3785349.6590918936, 351852.5255312941 3785395.858469449, 351873.50466537557 3785440.2151216795, 351898.7304913985 3785482.3018697766, 351927.9600708684 3785521.7133953483, 351960.91190695646 3785558.07014386, 351997.2686554679 3785591.021979948, 352036.6801810399 3785620.2515594177, 352078.7669291367 3785645.477385441, 352123.1235813672 3785666.4565195222, 352169.3229589225 3785682.9869211325, 352216.92013654165 3785694.9093934684, 352265.45672738494 3785702.1091166027, 352314.46529754973 3785704.5167532666, 352363.4738677145 3785702.1091166027, 352412.0104585578 3785694.9093934684, 352459.607636177 3785682.9869211325, 352505.80701373226 3785666.4565195222, 352550.16366596275 3785645.477385441, 352592.25041405956 3785620.2515594177, 352631.66193963157 3785591.021979948, 352668.018688143 3785558.07014386, 352700.9705242311 3785521.7133953483, 352730.200103701 3785482.3018697766, 352755.4259297239 3785440.2151216795, 352776.40506380534 3785395.858469449, 352792.9354654158 3785349.6590918936, 352804.85793775134 3785302.0619142745, 352812.05766088585 3785253.5253234315, 352814.46529754973 3785204.5167532666))"
"7318 N WOODMAN AVE VAN NUYS, CA 91405",91405.0,2,2008,,8.0,,,,,,,,,,,34.2116193,-118.4311424,"7318 N WOODMAN AVE VAN NUYS, CA",POINT (368160.6549266657 3786546.200932178),168,"POLYGON ((368660.6549266657 3786546.200932178, 368658.24729000183 3786497.1923620133, 368651.0475668673 3786448.6557711703, 368639.1250945318 3786401.058593551, 368622.5946929213 3786354.8592159958, 368601.61555883987 3786310.5025637653, 368576.38973281696 3786268.415815668, 368547.16015334707 3786229.0042900965, 368514.208317259 3786192.647541585, 368477.85156874754 3786159.6957054967, 368438.44004317553 3786130.466126027, 368396.35329507873 3786105.240300004, 368351.99664284824 3786084.2611659225, 368305.79726529296 3786067.730764312, 368258.2000876738 3786055.8082919763, 368209.6634968305 3786048.608568842, 368160.6549266657 3786046.200932178, 368111.6463565009 3786048.608568842, 368063.10976565763 3786055.8082919763, 368015.51258803846 3786067.730764312, 367969.3132104832 3786084.2611659225, 367924.9565582527 3786105.240300004, 367882.8698101559 3786130.466126027, 367843.4582845839 3786159.6957054967, 367807.10153607244 3786192.647541585, 367774.14969998435 3786229.0042900965, 367744.92012051446 3786268.415815668, 367719.69429449155 3786310.5025637653, 367698.7151604101 3786354.8592159958, 367682.1847587996 3786401.058593551, 367670.2622864641 3786448.6557711703, 367663.0625633296 3786497.1923620133, 367660.6549266657 3786546.200932178, 367663.0625633296 3786595.209502343, 367670.2622864641 3786643.746093186, 367682.1847587996 3786691.343270805, 367698.7151604101 3786737.5426483606, 367719.69429449155 3786781.899300591, 367744.92012051446 3786823.986048688, 367774.14969998435 3786863.39757426, 367807.10153607244 3786899.7543227714, 367843.4582845839 3786932.7061588597, 367882.8698101559 3786961.9357383293, 367924.9565582527 3786987.1615643525, 367969.3132104832 3787008.140698434, 368015.51258803846 3787024.671100044, 368063.10976565763 3787036.59357238, 368111.6463565009 3787043.7932955143, 368160.6549266657 3787046.200932178, 368209.6634968305 3787043.7932955143, 368258.2000876738 3787036.59357238, 368305.79726529296 3787024.671100044, 368351.99664284824 3787008.140698434, 368396.35329507873 3786987.1615643525, 368438.44004317553 3786961.9357383293, 368477.85156874754 3786932.7061588597, 368514.208317259 3786899.7543227714, 368547.16015334707 3786863.39757426, 368576.38973281696 3786823.986048688, 368601.61555883987 3786781.899300591, 368622.5946929213 3786737.5426483606, 368639.1250945318 3786691.343270805, 368651.0475668673 3786643.746093186, 368658.24729000183 3786595.209502343, 368660.6549266657 3786546.200932178))"
"7318 N WOODMAN AVE VAN NUYS, CA 91405",91405.0,2,2008,,8.0,,,,,,,,,,,34.2116193,-118.4311424,"7318 N WOODMAN AVE VAN NUYS, CA",POINT (368160.6549266657 3786546.200932178),169,"POLYGON ((368660.6549266657 3786546.200932178, 368658.24729000183 3786497.1923620133, 368651.0475668673 3786448.6557711703, 368639.1250945318 3786401.058593551, 368622.5946929213 3786354.8592159958, 368601.61555883987 3786310.5025637653, 368576.38973281696 3786268.415815668, 368547.16015334707 3786229.0042900965, 368514.208317259 3786192.647541585, 368477.85156874754 3786159.6957054967, 368438.44004317553 3786130.466126027, 368396.35329507873 3786105.240300004, 368351.99664284824 3786084.2611659225, 368305.79726529296 3786067.730764312, 368258.2000876738 3786055.8082919763, 368209.6634968305 3786048.608568842, 368160.6549266657 3786046.200932178, 368111.6463565009 3786048.608568842, 368063.10976565763 3786055.8082919763, 368015.51258803846 3786067.730764312, 367969.3132104832 3786084.2611659225, 367924.9565582527 3786105.240300004, 367882.8698101559 3786130.466126027, 367843.4582845839 3786159.6957054967, 367807.10153607244 3786192.647541585, 367774.14969998435 3786229.0042900965, 367744.92012051446 3786268.415815668, 367719.69429449155 3786310.5025637653, 367698.7151604101 3786354.8592159958, 367682.1847587996 3786401.058593551, 367670.2622864641 3786448.6557711703, 367663.0625633296 3786497.1923620133, 367660.6549266657 3786546.200932178, 367663.0625633296 3786595.209502343, 367670.2622864641 3786643.746093186, 367682.1847587996 3786691.343270805, 367698.7151604101 3786737.5426483606, 367719.69429449155 3786781.899300591, 367744.92012051446 3786823.986048688, 367774.14969998435 3786863.39757426, 367807.10153607244 3786899.7543227714, 367843.4582845839 3786932.7061588597, 367882.8698101559 3786961.9357383293, 367924.9565582527 3786987.1615643525, 367969.3132104832 3787008.140698434, 368015.51258803846 3787024.671100044, 368063.10976565763 3787036.59357238, 368111.6463565009 3787043.7932955143, 368160.6549266657 3787046.200932178, 368209.6634968305 3787043.7932955143, 368258.2000876738 3787036.59357238, 368305.79726529296 3787024.671100044, 368351.99664284824 3787008.140698434, 368396.35329507873 3786987.1615643525, 368438.44004317553 3786961.9357383293, 368477.85156874754 3786932.7061588597, 368514.208317259 3786899.7543227714, 368547.16015334707 3786863.39757426, 368576.38973281696 3786823.986048688, 368601.61555883987 3786781.899300591, 368622.5946929213 3786737.5426483606, 368639.1250945318 3786691.343270805, 368651.0475668673 3786643.746093186, 368658.24729000183 3786595.209502343, 368660.6549266657 3786546.200932178))"
"7318 N WOODMAN AVE VAN NUYS, CA 91405",91405.0,2,2008,,8.0,,,,,,,,,,,34.2116193,-118.4311424,"7318 N WOODMAN AVE VAN NUYS, CA",POINT (368160.6549266657 3786546.200932178),170,"POLYGON ((368660.6549266657 3786546.200932178, 368658.24729000183 3786497.1923620133, 368651.0475668673 3786448.6557711703, 368639.1250945318 3786401.058593551, 368622.5946929213 3786354.8592159958, 368601.61555883987 3786310.5025637653, 368576.38973281696 3786268.415815668, 368547.16015334707 3786229.0042900965, 368514.208317259 3786192.647541585, 368477.85156874754 3786159.6957054967, 368438.44004317553 3786130.466126027, 368396.35329507873 3786105.240300004, 368351.99664284824 3786084.2611659225, 368305.79726529296 3786067.730764312, 368258.2000876738 3786055.8082919763, 368209.6634968305 3786048.608568842, 368160.6549266657 3786046.200932178, 368111.6463565009 3786048.608568842, 368063.10976565763 3786055.8082919763, 368015.51258803846 3786067.730764312, 367969.3132104832 3786084.2611659225, 367924.9565582527 3786105.240300004, 367882.8698101559 3786130.466126027, 367843.4582845839 3786159.6957054967, 367807.10153607244 3786192.647541585, 367774.14969998435 3786229.0042900965, 367744.92012051446 3786268.415815668, 367719.69429449155 3786310.5025637653, 367698.7151604101 3786354.8592159958, 367682.1847587996 3786401.058593551, 367670.2622864641 3786448.6557711703, 367663.0625633296 3786497.1923620133, 367660.6549266657 3786546.200932178, 367663.0625633296 3786595.209502343, 367670.2622864641 3786643.746093186, 367682.1847587996 3786691.343270805, 367698.7151604101 3786737.5426483606, 367719.69429449155 3786781.899300591, 367744.92012051446 3786823.986048688, 367774.14969998435 3786863.39757426, 367807.10153607244 3786899.7543227714, 367843.4582845839 3786932.7061588597, 367882.8698101559 3786961.9357383293, 367924.9565582527 3786987.1615643525, 367969.3132104832 3787008.140698434, 368015.51258803846 3787024.671100044, 368063.10976565763 3787036.59357238, 368111.6463565009 3787043.7932955143, 368160.6549266657 3787046.200932178, 368209.6634968305 3787043.7932955143, 368258.2000876738 3787036.59357238, 368305.79726529296 3787024.671100044, 368351.99664284824 3787008.140698434, 368396.35329507873 3786987.1615643525, 368438.44004317553 3786961.9357383293, 368477.85156874754 3786932.7061588597, 368514.208317259 3786899.7543227714, 368547.16015334707 3786863.39757426, 368576.38973281696 3786823.986048688, 368601.61555883987 3786781.899300591, 368622.5946929213 3786737.5426483606, 368639.1250945318 3786691.343270805, 368651.0475668673 3786643.746093186, 368658.24729000183 3786595.209502343, 368660.6549266657 3786546.200932178))"
"7318 N WOODMAN AVE VAN NUYS, CA 91405",91405.0,2,2008,,8.0,,,,,,,,,,,34.2116193,-118.4311424,"7318 N WOODMAN AVE VAN NUYS, CA",POINT (368160.6549266657 3786546.200932178),216,"POLYGON ((368660.6549266657 3786546.200932178, 368658.24729000183 3786497.1923620133, 368651.0475668673 3786448.6557711703, 368639.1250945318 3786401.058593551, 368622.5946929213 3786354.8592159958, 368601.61555883987 3786310.5025637653, 368576.38973281696 3786268.415815668, 368547.16015334707 3786229.0042900965, 368514.208317259 3786192.647541585, 368477.85156874754 3786159.6957054967, 368438.44004317553 3786130.466126027, 368396.35329507873 3786105.240300004, 368351.99664284824 3786084.2611659225, 368305.79726529296 3786067.730764312, 368258.2000876738 3786055.8082919763, 368209.6634968305 3786048.608568842, 368160.6549266657 3786046.200932178, 368111.6463565009 3786048.608568842, 368063.10976565763 3786055.8082919763, 368015.51258803846 3786067.730764312, 367969.3132104832 3786084.2611659225, 367924.9565582527 3786105.240300004, 367882.8698101559 3786130.466126027, 367843.4582845839 3786159.6957054967, 367807.10153607244 3786192.647541585, 367774.14969998435 3786229.0042900965, 367744.92012051446 3786268.415815668, 367719.69429449155 3786310.5025637653, 367698.7151604101 3786354.8592159958, 367682.1847587996 3786401.058593551, 367670.2622864641 3786448.6557711703, 367663.0625633296 3786497.1923620133, 367660.6549266657 3786546.200932178, 367663.0625633296 3786595.209502343, 367670.2622864641 3786643.746093186, 367682.1847587996 3786691.343270805, 367698.7151604101 3786737.5426483606, 367719.69429449155 3786781.899300591, 367744.92012051446 3786823.986048688, 367774.14969998435 3786863.39757426, 367807.10153607244 3786899.7543227714, 367843.4582845839 3786932.7061588597, 367882.8698101559 3786961.9357383293, 367924.9565582527 3786987.1615643525, 367969.3132104832 3787008.140698434, 368015.51258803846 3787024.671100044, 368063.10976565763 3787036.59357238, 368111.6463565009 3787043.7932955143, 368160.6549266657 3787046.200932178, 368209.6634968305 3787043.7932955143, 368258.2000876738 3787036.59357238, 368305.79726529296 3787024.671100044, 368351.99664284824 3787008.140698434, 368396.35329507873 3786987.1615643525, 368438.44004317553 3786961.9357383293, 368477.85156874754 3786932.7061588597, 368514.208317259 3786899.7543227714, 368547.16015334707 3786863.39757426, 368576.38973281696 3786823.986048688, 368601.61555883987 3786781.899300591, 368622.5946929213 3786737.5426483606, 368639.1250945318 3786691.343270805, 368651.0475668673 3786643.746093186, 368658.24729000183 3786595.209502343, 368660.6549266657 3786546.200932178))"
"1759 S BELOIT AVE 1-61 Los Angeles, CA 90025",90025.0,11,2009,,61.0,,,,,,,,,,,34.0387433,-118.4403584,"1759 S BELOIT AVE Los Angeles, CA",POINT (367041.1705792156 3767387.363724291),836,"POLYGON ((367541.1705792156 3767387.363724291, 367538.76294255175 3767338.355154126, 367531.56321941724 3767289.818563283, 367519.6407470817 3767242.221385664, 367503.11034547124 3767196.0220081084, 367482.1312113898 3767151.665355878, 367456.9053853669 3767109.578607781, 367427.675805897 3767070.167082209, 367394.7239698089 3767033.8103336976, 367358.36722129746 3767000.8584976094, 367318.95569572545 3766971.6289181397, 367276.86894762865 3766946.4030921166, 367232.51229539816 3766925.423958035, 367186.3129178429 3766908.893556425, 367138.7157402237 3766896.971084089, 367090.1791493804 3766889.7713609547, 367041.1705792156 3766887.363724291, 366992.16200905084 3766889.7713609547, 366943.62541820755 3766896.971084089, 366896.0282405884 3766908.893556425, 366849.8288630331 3766925.423958035, 366805.4722108026 3766946.4030921166, 366763.3854627058 3766971.6289181397, 366723.9739371338 3767000.8584976094, 366687.61718862236 3767033.8103336976, 366654.66535253427 3767070.167082209, 366625.4357730644 3767109.578607781, 366600.20994704147 3767151.665355878, 366579.23081296 3767196.0220081084, 366562.70041134953 3767242.221385664, 366550.777939014 3767289.818563283, 366543.5782158795 3767338.355154126, 366541.1705792156 3767387.363724291, 366543.5782158795 3767436.3722944558, 366550.777939014 3767484.9088852988, 366562.70041134953 3767532.506062918, 366579.23081296 3767578.7054404733, 366600.20994704147 3767623.0620927038, 366625.4357730644 3767665.148840801, 366654.66535253427 3767704.5603663726, 366687.61718862236 3767740.917114884, 366723.9739371338 3767773.8689509723, 366763.3854627058 3767803.098530442, 366805.4722108026 3767828.324356465, 366849.8288630331 3767849.3034905465, 366896.0282405884 3767865.833892157, 366943.62541820755 3767877.7563644927, 366992.16200905084 3767884.956087627, 367041.1705792156 3767887.363724291, 367090.1791493804 3767884.956087627, 367138.7157402237 3767877.7563644927, 367186.3129178429 3767865.833892157, 367232.51229539816 3767849.3034905465, 367276.86894762865 3767828.324356465, 367318.95569572545 3767803.098530442, 367358.36722129746 3767773.8689509723, 367394.7239698089 3767740.917114884, 367427.675805897 3767704.5603663726, 367456.9053853669 3767665.148840801, 367482.1312113898 3767623.0620927038, 367503.11034547124 3767578.7054404733, 367519.6407470817 3767532.506062918, 367531.56321941724 3767484.9088852988, 367538.76294255175 3767436.3722944558, 367541.1705792156 3767387.363724291))"
