APN,RSO Year,Address,City,Zip,RSO Units,Prior Council District,Council District,Land Use Code,Unit Range,Latitude,Longitude
2004001014,2024,8312 MAYNARD AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,43.6377304,-79.4375699
2004004011,2023,8379 SALE AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2222782,-118.6195963
2004006011,2021,8371 CAPISTRANO AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.221836,-118.6173273
2004009001,2024,8399 SHOUP AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2225321,-118.6150608
2004009007,2021,8343 SHOUP AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2209609,-118.6150479
2004010007,2024,22428 NAPA ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2242212,-118.6157551
2004010020,2022,22415 CHASE ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2229178,-118.6154252
2004015026,2021,22719 NAPA ST,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2262597,-118.6224235
2004015028,2023,22720 NAPA ST,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2257858,-118.6223567
2004017027,2020,8500 CAPISTRANO AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2246489,-118.6162231
2004018006,2023,8401 RUDNICK AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2233689,-118.6136477
2004019011,2023,8463 MOORCROFT AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2238634,-118.6123803
2004020031,2021,8620 RUDNICK AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2271607,-118.6117846
2004021016,2020,8641 DELMONICO AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2279918,-118.6139567
2004023006,2023,8920 MOORCROFT AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2330148,-118.6094083
