Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14002_001,SE_A14002_002,SE_A14002_003,SE_A14002_004,SE_A14002_005,SE_A14002_006,SE_A14002_007,SE_A14002_008,SE_A14002_009,SE_A14002_010,SE_A14002_011,SE_A14002_012,PCT_SE_A14002_002,PCT_SE_A14002_003,PCT_SE_A14002_004,PCT_SE_A14002_005,PCT_SE_A14002_006,PCT_SE_A14002_007,PCT_SE_A14002_008,PCT_SE_A14002_009,PCT_SE_A14002_010,PCT_SE_A14002_011,PCT_SE_A14002_012,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A18002_001,SE_A18002_002,SE_A18002_003,SE_A18002_004,SE_A18002_005,SE_A18002_006,PCT_SE_A18002_002,PCT_SE_A18002_003,PCT_SE_A18002_004,PCT_SE_A18002_005,PCT_SE_A18002_006,SE_B18002_001,SE_B18002_002,SE_B18002_003,PCT_SE_B18002_002,PCT_SE_B18002_003,SE_A00001_001
"06037101110","Census Tract 1011.10, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101110",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101110","Census Tract 1011.10",,,,1558,43,32,84,22,59,132,111,228,179,332,336,2.76,2.05,5.39,1.41,3.79,8.47,7.12,14.63,11.49,21.31,21.57,4152,2367,146,4,292,5,558,780,57.01,3.52,0.1,7.03,0.12,13.44,18.79,760,8,281,183,216,72,1.05,36.97,24.08,28.42,9.47,760,183,216,24.08,28.42,4152
"06037101122","Census Tract 1011.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101122",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101122","Census Tract 1011.22",,,,1407,34,10,0,15,25,73,75,216,259,149,551,2.42,0.71,0,1.07,1.78,5.19,5.33,15.35,18.41,10.59,39.16,4198,3047,25,24,544,0,277,281,72.58,0.6,0.57,12.96,0,6.6,6.69,311,0,33,121,96,61,0,10.61,38.91,30.87,19.61,311,121,96,38.91,30.87,4198
"06037101220","Census Tract 1012.20, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101220",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101220","Census Tract 1012.20",,,,1357,88,24,60,0,39,92,172,237,139,172,334,6.48,1.77,4.42,0,2.87,6.78,12.68,17.46,10.24,12.68,24.61,3434,1704,10,87,490,0,517,626,49.62,0.29,2.53,14.27,0,15.06,18.23,761,29,346,175,154,57,3.81,45.47,23,20.24,7.49,761,175,154,23,20.24,3434
"06037101221","Census Tract 1012.21, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101221",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101221","Census Tract 1012.21",,,,1483,78,0,182,0,178,18,179,351,66,251,180,5.26,0,12.27,0,12,1.21,12.07,23.67,4.45,16.93,12.14,3931,1835,150,27,390,0,805,724,46.68,3.82,0.69,9.92,0,20.48,18.42,1154,0,347,334,459,14,0,30.07,28.94,39.77,1.21,1154,334,459,28.94,39.77,3931
"06037101222","Census Tract 1012.22, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101222",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101222","Census Tract 1012.22",,,,948,0,17,239,46,69,18,110,39,123,187,100,0,1.79,25.21,4.85,7.28,1.9,11.6,4.11,12.97,19.73,10.55,2572,1417,14,80,51,25,55,930,55.09,0.54,3.11,1.98,0.97,2.14,36.16,873,13,377,67,416,0,1.49,43.18,7.67,47.65,0,873,67,416,7.67,47.65,2572
"06037101300","Census Tract 1013, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101300","Census Tract 1013",,,,1513,57,18,19,34,55,81,86,119,121,345,578,3.77,1.19,1.26,2.25,3.64,5.35,5.68,7.87,8,22.8,38.2,4210,3202,69,0,229,0,294,416,76.06,1.64,0,5.44,0,6.98,9.88,316,15,140,40,78,43,4.75,44.3,12.66,24.68,13.61,316,40,78,12.66,24.68,4210
"06037101400","Census Tract 1014, Los Angeles County, California","ca","140","00",,,,"06","037",,,"101400",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037101400","Census Tract 1014",,,,1336,13,14,80,7,171,39,178,120,129,215,370,0.97,1.05,5.99,0.52,12.8,2.92,13.32,8.98,9.66,16.09,27.69,3489,2340,58,0,333,0,128,630,67.07,1.66,0,9.54,0,3.67,18.06,366,0,52,174,117,23,0,14.21,47.54,31.97,6.28,366,174,117,47.54,31.97,3489
"06037102103","Census Tract 1021.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102103",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037102103","Census Tract 1021.03",,,,714,37,0,7,14,45,36,102,131,86,140,116,5.18,0,0.98,1.96,6.3,5.04,14.29,18.35,12.04,19.61,16.25,2054,1686,51,0,241,0,27,49,82.08,2.48,0,11.73,0,1.31,2.39,299,0,30,106,163,0,0,10.03,35.45,54.52,0,299,106,163,35.45,54.52,2054
"06037102104","Census Tract 1021.04, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102104",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037102104","Census Tract 1021.04",,,,1299,31,0,60,15,0,36,96,110,158,400,393,2.39,0,4.62,1.15,0,2.77,7.39,8.47,12.16,30.79,30.25,4052,2951,59,23,472,0,72,475,72.83,1.46,0.57,11.65,0,1.78,11.72,301,18,136,47,51,49,5.98,45.18,15.61,16.94,16.28,301,47,51,15.61,16.94,4052
"06037102105","Census Tract 1021.05, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102105",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037102105","Census Tract 1021.05",,,,518,4,0,13,3,20,46,36,74,78,82,162,0.77,0,2.51,0.58,3.86,8.88,6.95,14.29,15.06,15.83,31.27,1664,442,22,17,161,0,433,589,26.56,1.32,1.02,9.68,0,26.02,35.4,213,0,110,28,70,5,0,51.64,13.15,32.86,2.35,213,28,70,13.15,32.86,1664
"06037102107","Census Tract 1021.07, Los Angeles County, California","ca","140","00",,,,"06","037",,,"102107",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037102107","Census Tract 1021.07",,,,1184,63,45,26,11,11,9,37,223,139,148,472,5.32,3.8,2.2,0.93,0.93,0.76,3.12,18.83,11.74,12.5,39.86,3595,2719,20,30,266,0,174,386,75.63,0.56,0.83,7.4,0,4.84,10.74,253,24,66,102,28,33,9.49,26.09,40.32,11.07,13.04,253,102,28,40.32,11.07,3595
"06037103101","Census Tract 1031.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103101",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103101","Census Tract 1031.01",,,,982,18,13,8,5,84,25,36,106,130,184,373,1.83,1.32,0.81,0.51,8.55,2.55,3.67,10.79,13.24,18.74,37.98,2705,1943,18,1,212,0,104,427,71.83,0.67,0.04,7.84,0,3.84,15.79,131,0,7,37,31,56,0,5.34,28.24,23.66,42.75,131,37,31,28.24,23.66,2705
"06037103102","Census Tract 1031.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103102",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103102","Census Tract 1031.02",,,,1646,9,32,135,31,68,46,187,335,188,422,193,0.55,1.94,8.2,1.88,4.13,2.79,11.36,20.35,11.42,25.64,11.73,4468,3278,13,0,349,0,468,360,73.37,0.29,0,7.81,0,10.47,8.06,524,0,34,295,166,29,0,6.49,56.3,31.68,5.53,524,295,166,56.3,31.68,4468
"06037103201","Census Tract 1032.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103201",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103201","Census Tract 1032.01",,,,1581,42,104,55,63,99,27,70,243,175,371,332,2.66,6.58,3.48,3.98,6.26,1.71,4.43,15.37,11.07,23.47,21,4425,2548,133,58,322,6,337,1021,57.58,3.01,1.31,7.28,0.14,7.62,23.07,1129,53,371,301,383,21,4.69,32.86,26.66,33.92,1.86,1129,301,383,26.66,33.92,4425
"06037103202","Census Tract 1032.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103202",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103202","Census Tract 1032.02",,,,649,0,0,0,0,5,5,85,74,33,229,218,0,0,0,0,0.77,0.77,13.1,11.4,5.08,35.29,33.59,1945,1110,19,0,45,0,678,93,57.07,0.98,0,2.31,0,34.86,4.78,45,0,45,0,0,0,0,100,0,0,0,45,0,0,0,0,1945
"06037103300","Census Tract 1033, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103300",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103300","Census Tract 1033",,,,1296,31,15,43,38,41,4,40,144,120,183,637,2.39,1.16,3.32,2.93,3.16,0.31,3.09,11.11,9.26,14.12,49.15,4021,2960,101,18,185,0,45,712,73.61,2.51,0.45,4.6,0,1.12,17.71,172,0,28,89,55,0,0,16.28,51.74,31.98,0,172,89,55,51.74,31.98,4021
"06037103401","Census Tract 1034.01, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103401",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103401","Census Tract 1034.01",,,,972,0,52,0,23,37,60,53,147,99,308,193,0,5.35,0,2.37,3.81,6.17,5.45,15.12,10.19,31.69,19.86,2552,1716,4,15,439,0,41,337,67.24,0.16,0.59,17.2,0,1.61,13.21,219,0,82,43,84,10,0,37.44,19.63,38.36,4.57,219,43,84,19.63,38.36,2552
"06037103402","Census Tract 1034.02, Los Angeles County, California","ca","140","00",,,,"06","037",,,"103402",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037103402","Census Tract 1034.02",,,,1378,28,45,46,55,11,52,35,238,142,340,386,2.03,3.27,3.34,3.99,0.8,3.77,2.54,17.27,10.3,24.67,28.01,3809,2319,475,0,344,0,273,398,60.88,12.47,0,9.03,0,7.17,10.45,461,36,285,16,112,12,7.81,61.82,3.47,24.3,2.6,461,16,112,3.47,24.3,3809
"06037104103","Census Tract 1041.03, Los Angeles County, California","ca","140","00",,,,"06","037",,,"104103",,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"1400000US06037104103","Census Tract 1041.03",,,,868,27,5,17,9,25,27,43,159,68,208,280,3.11,0.58,1.96,1.04,2.88,3.11,4.95,18.32,7.83,23.96,32.26,4257,882,578,41,230,0,906,1620,20.72,13.58,0.96,5.4,0,21.28,38.05,143,0,28,21,81,13,0,19.58,14.69,56.64,9.09,143,21,81,14.69,56.64,4257
